"imputation","contrast","estimate","variance"
1,"cancer_and_pain_vs_neither",0.0514491433504629,4.33584475094563e-05
1,"cancer_and_pain_vs_cancer_only",0.0153792185005022,8.05170534494332e-05
1,"pain_only_vs_neither",0.0290536190962905,1.31485377687794e-05
1,"cancer_only_vs_neither",0.0360699248499607,3.69581536811062e-05
1,"pain_only_vs_cancer_only",-0.0070163057536702,4.58335998023409e-05
2,"cancer_and_pain_vs_neither",0.0514683721950492,4.33930514725278e-05
2,"cancer_and_pain_vs_cancer_only",0.015411575808795,8.05011130854726e-05
2,"pain_only_vs_neither",0.0290515279139577,1.31463616591017e-05
2,"cancer_only_vs_neither",0.0360567963862542,3.69609628785289e-05
2,"pain_only_vs_cancer_only",-0.00700526847229652,4.58193893380139e-05
3,"cancer_and_pain_vs_neither",0.0514532350821636,4.34227879090117e-05
3,"cancer_and_pain_vs_cancer_only",0.015378571473354,8.06316305435965e-05
3,"pain_only_vs_neither",0.029058241251822,1.31582859076675e-05
3,"cancer_only_vs_neither",0.0360746636088096,3.69821574226635e-05
3,"pain_only_vs_cancer_only",-0.00701642235698761,4.58621730422977e-05
4,"cancer_and_pain_vs_neither",0.0514794625922104,4.34293313847817e-05
4,"cancer_and_pain_vs_cancer_only",0.0154070237388536,8.06011415163152e-05
4,"pain_only_vs_neither",0.0290414606861395,1.31330093398228e-05
4,"cancer_only_vs_neither",0.0360724388533568,3.69556883902361e-05
4,"pain_only_vs_cancer_only",-0.00703097816721732,4.57808308598522e-05
5,"cancer_and_pain_vs_neither",0.0514859820411283,4.33864902494308e-05
5,"cancer_and_pain_vs_cancer_only",0.0154172758058828,8.06003035908814e-05
5,"pain_only_vs_neither",0.0290600328872608,1.31626994073841e-05
5,"cancer_only_vs_neither",0.0360687062352455,3.69902173580248e-05
5,"pain_only_vs_cancer_only",-0.00700867334798469,4.58504740856504e-05
6,"cancer_and_pain_vs_neither",0.0514820555230438,4.33820040815814e-05
6,"cancer_and_pain_vs_cancer_only",0.0154057969049314,8.05809141951137e-05
6,"pain_only_vs_neither",0.0290481377200342,1.3158341718417e-05
6,"cancer_only_vs_neither",0.0360762586181124,3.69884180666166e-05
