"variable","iteration","chain","value"
"current_smoking","1","Chain 1",1.10802469135802
"current_smoking","2","Chain 1",1.07716049382716
"current_smoking","3","Chain 1",1.08950617283951
"current_smoking","4","Chain 1",1.11728395061728
"current_smoking","5","Chain 1",1.08950617283951
"current_smoking","6","Chain 1",1.09567901234568
"current_smoking","7","Chain 1",1.10185185185185
"current_smoking","8","Chain 1",1.10185185185185
"current_smoking","9","Chain 1",1.09567901234568
"current_smoking","10","Chain 1",1.10185185185185
"current_smoking","11","Chain 1",1.10493827160494
"current_smoking","12","Chain 1",1.10493827160494
"current_smoking","13","Chain 1",1.11111111111111
"current_smoking","14","Chain 1",1.08333333333333
"current_smoking","15","Chain 1",1.12654320987654
"current_smoking","16","Chain 1",1.08333333333333
"current_smoking","17","Chain 1",1.09259259259259
"current_smoking","18","Chain 1",1.08641975308642
"current_smoking","19","Chain 1",1.1141975308642
"current_smoking","20","Chain 1",1.09259259259259
"current_smoking","21","Chain 1",1.08024691358025
"current_smoking","22","Chain 1",1.12654320987654
"current_smoking","23","Chain 1",1.07716049382716
"current_smoking","24","Chain 1",1.08641975308642
"current_smoking","25","Chain 1",1.09876543209877
"current_smoking","26","Chain 1",1.08950617283951
"current_smoking","27","Chain 1",1.11111111111111
"current_smoking","28","Chain 1",1.12037037037037
"current_smoking","29","Chain 1",1.06481481481481
"current_smoking","30","Chain 1",1.08024691358025
"current_smoking","31","Chain 1",1.12037037037037
"current_smoking","32","Chain 1",1.1141975308642
"current_smoking","33","Chain 1",1.1141975308642
"current_smoking","34","Chain 1",1.10802469135802
"current_smoking","35","Chain 1",1.08950617283951
"current_smoking","36","Chain 1",1.11111111111111
"current_smoking","37","Chain 1",1.10493827160494
"current_smoking","38","Chain 1",1.10185185185185
"current_smoking","39","Chain 1",1.11728395061728
"current_smoking","40","Chain 1",1.10802469135802
"current_smoking","41","Chain 1",1.11728395061728
"current_smoking","42","Chain 1",1.08024691358025
"current_smoking","43","Chain 1",1.12345679012346
"current_smoking","44","Chain 1",1.11728395061728
"current_smoking","45","Chain 1",1.08024691358025
"current_smoking","46","Chain 1",1.12654320987654
"current_smoking","47","Chain 1",1.07407407407407
"current_smoking","48","Chain 1",1.11728395061728
"current_smoking","49","Chain 1",1.10493827160494
"current_smoking","50","Chain 1",1.08333333333333
"current_smoking","1","Chain 2",1.09259259259259
"current_smoking","2","Chain 2",1.1141975308642
"current_smoking","3","Chain 2",1.09876543209877
"current_smoking","4","Chain 2",1.08641975308642
"current_smoking","5","Chain 2",1.11111111111111
"current_smoking","6","Chain 2",1.12037037037037
"current_smoking","7","Chain 2",1.08641975308642
