"contrast","log_rr","variance","imputation"
"cancer_and_pain_vs_neither",0.452057166478117,0.00241137607247089,1
"cancer_and_pain_vs_cancer_only",0.115087864626617,0.00453378090025409,1
"pain_only_vs_neither",0.279715052812366,0.00110558443006058,1
"cancer_only_vs_neither",0.3369693018515,0.00240171261571729,1
"pain_only_vs_cancer_only",-0.0572542490391339,0.00294804803863332,1
"cancer_and_pain_vs_neither",0.452190912391803,0.00241251194001835,2
"cancer_and_pain_vs_cancer_only",0.115327442705259,0.00453254073385122,2
"pain_only_vs_neither",0.279696035398277,0.00110519242096364,2
"cancer_only_vs_neither",0.336863469686544,0.00240258520425827,2
"pain_only_vs_cancer_only",-0.0571674342882671,0.00294764756336408,2
"cancer_and_pain_vs_neither",0.452094327788974,0.00241485646840335,3
"cancer_and_pain_vs_cancer_only",0.115080963328449,0.00453998738187158,3
"pain_only_vs_neither",0.279759397843276,0.00110656263300645,3
"cancer_only_vs_neither",0.337013364460524,0.00240272377529211,3
"pain_only_vs_cancer_only",-0.0572539666172487,0.00294966110825245,3
"cancer_and_pain_vs_neither",0.45226356130126,0.00241380474792898,4
"cancer_and_pain_vs_cancer_only",0.115280534789028,0.0045371363463155,4
"pain_only_vs_neither",0.279607639767812,0.00110448280085279,4
"cancer_only_vs_neither",0.336983026512233,0.00240049704317435,4
"pain_only_vs_cancer_only",-0.0573753867444202,0.0029443049899866,4
"cancer_and_pain_vs_neither",0.452333769473942,0.00241179251988197,5
"cancer_and_pain_vs_cancer_only",0.115361370111333,0.00453780769209286,5
"pain_only_vs_neither",0.279779803919731,0.00110680890988387,5
"cancer_only_vs_neither",0.336972399362609,0.00240364090640265,5
"pain_only_vs_cancer_only",-0.0571925954428781,0.00294919934089713,5
"cancer_and_pain_vs_neither",0.452292142712414,0.00241161611880035,6
"cancer_and_pain_vs_cancer_only",0.115270757587141,0.00453629723542179,6
"pain_only_vs_neither",0.279670596469731,0.00110649379580333,6
"cancer_only_vs_neither",0.337021385125273,0.00240325431519713,6
"pain_only_vs_cancer_only",-0.0573507886555419,0.0029490755962667,6
"cancer_and_pain_vs_neither",0.452284281367119,0.00241142678593119,7
"cancer_and_pain_vs_cancer_only",0.115440982552887,0.00453275615985891,7
"pain_only_vs_neither",0.279647778395106,0.00110537546926562,7
"cancer_only_vs_neither",0.336843298814232,0.00240144500867077,7
"pain_only_vs_cancer_only",-0.0571955204191263,0.00294408858896873,7
"cancer_and_pain_vs_neither",0.452227944572491,0.00241451511348439,8
"cancer_and_pain_vs_cancer_only",0.115098483565099,0.00454084467588852,8
"pain_only_vs_neither",0.279706920844458,0.00110381811069321,8
"cancer_only_vs_neither",0.337129461007392,0.00240315490965006,8
"pain_only_vs_cancer_only",-0.0574225401629337,0.00295072227125894,8
"cancer_and_pain_vs_neither",0.452152701966791,0.00241173768366418,9
"cancer_and_pain_vs_cancer_only",0.115181883339995,0.00453641234407458,9
"pain_only_vs_neither",0.279897408192513,0.00110803685409094,9
"cancer_only_vs_neither",0.336970818626797,0.00240228848204325,9
"pain_only_vs_cancer_only",-0.0570734104342838,0.0029491694948767,9
"cancer_and_pain_vs_neither",0.452081048216884,0.00241414939356952,10
"cancer_and_pain_vs_cancer_only",0.115107424905122,0.00453709812765939,10
"pain_only_vs_neither",0.279638570641975,0.00110535143039132,10
"cancer_only_vs_neither",0.336973623311762,0.00240405200415587,10
"pain_only_vs_cancer_only",-0.0573350526697869,0.00294827160382606,10
"cancer_and_pain_vs_neither",0.452040988268219,0.00241432635336323,11
"cancer_and_pain_vs_cancer_only",0.115219420557245,0.00453825445316313,11
"pain_only_vs_neither",0.279750578551463,0.00110521453160833,11
"cancer_only_vs_neither",0.336821567710974,0.00240285044788388,11
"pain_only_vs_cancer_only",-0.057070989159511,0.00295143904055403,11
"cancer_and_pain_vs_neither",0.452198683452032,0.00241392819987242,12
"cancer_and_pain_vs_cancer_only",0.115143596623531,0.00453920131610488,12
"pain_only_vs_neither",0.279836558365447,0.00110414700295838,12
"cancer_only_vs_neither",0.337055086828501,0.00240327362487837,12
"pain_only_vs_cancer_only",-0.0572185284630535,0.0029494734089269,12
"cancer_and_pain_vs_neither",0.452369457307862,0.00241033641029153,13
"cancer_and_pain_vs_cancer_only",0.115241173136468,0.00453486290507491,13
"pain_only_vs_neither",0.279765126503665,0.00110497907436383,13
"cancer_only_vs_neither",0.337128284171394,0.0024031112506934,13
"pain_only_vs_cancer_only",-0.057363157667729,0.00294747750059358,13
"cancer_and_pain_vs_neither",0.452014076130389,0.00241748681199317,14
"cancer_and_pain_vs_cancer_only",0.115063372088499,0.0045427191014326,14
"pain_only_vs_neither",0.279650928905755,0.00110473619239411,14
"cancer_only_vs_neither",0.336950704041891,0.00240256334010164,14
"pain_only_vs_cancer_only",-0.0572997751361354,0.00294755359275445,14
"cancer_and_pain_vs_neither",0.451816382873557,0.00241335247816973,15
"cancer_and_pain_vs_cancer_only",0.115000890320892,0.00453873520418576,15
"pain_only_vs_neither",0.279465708502463,0.00110491451355034,15
"cancer_only_vs_neither",0.336815492552665,0.00240357609148803,15
"pain_only_vs_cancer_only",-0.0573497840502017,0.00295038857948277,15
"cancer_and_pain_vs_neither",0.451833247614677,0.0024169985183076,16
"cancer_and_pain_vs_cancer_only",0.115069327539891,0.00454353674988599,16
"pain_only_vs_neither",0.279700055886164,0.00110380485249471,16
"cancer_only_vs_neither",0.336763920074786,0.00240380951973211,16
"pain_only_vs_cancer_only",-0.0570638641886213,0.00295246013154144,16
"cancer_and_pain_vs_neither",0.452025604698685,0.00241398032521023,17
"cancer_and_pain_vs_cancer_only",0.11500661467908,0.0045382615986594,17
"pain_only_vs_neither",0.27960706724842,0.0011052277693574,17
"cancer_only_vs_neither",0.337018990019605,0.00240326224599738,17
"pain_only_vs_cancer_only",-0.0574119227711848,0.00294692928302851,17
"cancer_and_pain_vs_neither",0.452093436972151,0.00241025843192012,18
"cancer_and_pain_vs_cancer_only",0.115178556763929,0.00453483916875792,18
"pain_only_vs_neither",0.279644864459084,0.00110492816285971,18
"cancer_only_vs_neither",0.336914880208223,0.002402765098772,18
"pain_only_vs_cancer_only",-0.0572700157491385,0.00294847567552992,18
"cancer_and_pain_vs_neither",0.451747700439512,0.00241415593504966,19
"cancer_and_pain_vs_cancer_only",0.114761767870655,0.00454045705522124,19
"pain_only_vs_neither",0.279654625167115,0.00110581520297702,19
"cancer_only_vs_neither",0.336985932568856,0.00240313310780235,19
"pain_only_vs_cancer_only",-0.0573313074017411,0.00294876997958497,19
"cancer_and_pain_vs_neither",0.452069354754812,0.0024135482800627,20
"cancer_and_pain_vs_cancer_only",0.11508796750143,0.0045384038525138,20
"pain_only_vs_neither",0.279557235423031,0.00110655741793175,20
"cancer_only_vs_neither",0.336981387253382,0.00240291029427461,20
"pain_only_vs_cancer_only",-0.0574241518303505,0.00295172332311411,20
