"imputation","phenotype","estimate","variance"
1,"neither",0.0900181660449442,4.19404617087708e-06
1,"cancer_only",0.126088090894905,3.97761320443798e-05
1,"pain_only",0.119071785141235,1.08681358438572e-05
1,"cancer_and_pain",0.141467309395407,4.13755284167268e-05
2,"neither",0.0900187028243585,4.19082362720961e-06
2,"cancer_only",0.126075499210613,3.97640998319724e-05
2,"pain_only",0.119070230738316,1.08727280760878e-05
2,"cancer_and_pain",0.141487075019408,4.14062663733411e-05
3,"neither",0.0900161270731808,4.19877139388023e-06
3,"cancer_only",0.12609079068199,3.98231852116349e-05
3,"pain_only",0.119074368325003,1.08709285991628e-05
3,"cancer_and_pain",0.141469362155344,4.14366676735233e-05
4,"neither",0.0900201212367553,4.18886420619721e-06
4,"cancer_only",0.126092560090112,3.98019590609709e-05
4,"pain_only",0.119061581922895,1.08503095443627e-05
4,"cancer_and_pain",0.141499583828966,4.14449011242507e-05
5,"neither",0.0900141501403671,4.19325365674687e-06
5,"cancer_only",0.126082856375613,3.98185671845222e-05
5,"pain_only",0.119074183027628,1.08718180277552e-05
5,"cancer_and_pain",0.141500132181495,4.14059595819238e-05
6,"neither",0.0900175834564322,4.1914057076395e-06
6,"cancer_only",0.126093842074545,3.98092207186315e-05
6,"pain_only",0.119065721176466,1.08681528172527e-05
6,"cancer_and_pain",0.141499638979476,4.13962335228774e-05
7,"neither",0.090019785258398,4.18942223981648e-06
7,"cancer_only",0.126074472153534,3.97485232788733e-05
7,"pain_only",0.119065916600838,1.08646300869571e-05
7,"cancer_and_pain",0.141501987616077,4.140516853644e-05
8,"neither",0.0900159921185667,4.18497028792671e-06
8,"cancer_only",0.126105241176491,3.98204562973881e-05
8,"pain_only",0.119067941313322,1.08795647281411e-05
8,"cancer_and_pain",0.141488053976358,4.14406030771349e-05
9,"neither",0.0900115959321119,4.19592282896569e-06
9,"cancer_only",0.126079079397207,3.97895871126029e-05
9,"pain_only",0.119084808281413,1.08766572694679e-05
9,"cancer_and_pain",0.141470498996228,4.13667873659549e-05
10,"neither",0.0900204445507689,4.19092411007684e-06
10,"cancer_only",0.12609182728869,3.98117706586672e-05
10,"pain_only",0.119065692290481,1.08689075754107e-05
10,"cancer_and_pain",0.141474268773705,4.14164407410758e-05
11,"neither",0.0900182957237516,4.18555307597087e-06
11,"cancer_only",0.126069646368821,3.97927789732223e-05
11,"pain_only",0.119076186868652,1.08688071344987e-05
11,"cancer_and_pain",0.141465224518463,4.14188519202342e-05
12,"neither",0.0900125839896097,4.18313107135529e-06
12,"cancer_only",0.126091088389142,3.98108101589654e-05
12,"pain_only",0.119078869326563,1.08687278446003e-05
12,"cancer_and_pain",0.141478557162851,4.14226632458051e-05
13,"neither",0.0900131475419416,4.18392781530121e-06
13,"cancer_only",0.12610110775061,3.98065864684231e-05
13,"pain_only",0.119071109082799,1.08705691727731e-05
13,"cancer_and_pain",0.141503605987372,4.14007807754718e-05
14,"neither",0.0900206846499039,4.18739039953694e-06
14,"cancer_only",0.126089273688848,3.97949428321793e-05
14,"pain_only",0.119067481316255,1.08721398555498e-05
14,"cancer_and_pain",0.141465171573571,4.14847416890455e-05
15,"neither",0.0900291071461043,4.19215167909026e-06
15,"cancer_only",0.126084021665792,3.98024674308945e-05
15,"pain_only",0.119056567734854,1.0862649350631e-05
15,"cancer_and_pain",0.141450440745323,4.14053557751185e-05
16,"neither",0.0900218112939536,4.18705821577218e-06
16,"cancer_only",0.126067302195288,3.98157301142505e-05
16,"pain_only",0.119074821135033,1.08601693477452e-05
16,"cancer_and_pain",0.141441363121095,4.14433838092641e-05
17,"neither",0.090021485576994,4.18816582042977e-06
17,"cancer_only",0.12609900602333,3.98086877950461e-05
17,"pain_only",0.119063318247911,1.08709452008298e-05
17,"cancer_and_pain",0.141468061124528,4.14219588379135e-05
18,"neither",0.0900206206843148,4.18834459397057e-06
18,"cancer_only",0.126084667177114,3.97951638645202e-05
18,"pain_only",0.119066674635327,1.0868849406993e-05
18,"cancer_and_pain",0.141476298285921,4.13797428861741e-05
19,"neither",0.0900221117711327,4.19207255158692e-06
19,"cancer_only",0.126095714702801,3.98095514195532e-05
19,"pain_only",0.119069809036195,1.08696299334596e-05
19,"cancer_and_pain",0.141429735795902,4.13928577090588e-05
20,"neither",0.0900230969182372,4.18771856782116e-06
20,"cancer_only",0.126096521467649,3.9805242102779e-05
20,"pain_only",0.119059516323119,1.08942268239066e-05
20,"cancer_and_pain",0.141476782816493,4.14135884679748e-05
