"imputation","contrast","estimate","variance"
1,"cancer_and_pain_vs_neither",0.0290144248279459,3.79165477161907e-05
1,"cancer_and_pain_vs_cancer_only",0.0237989688968993,4.67537907916229e-05
1,"pain_only_vs_neither",0.0293259066716227,1.29597571221823e-05
1,"cancer_only_vs_neither",0.00521545593104661,2.2246220837684e-05
1,"pain_only_vs_cancer_only",0.0241104507405761,3.19759928177247e-05
2,"cancer_and_pain_vs_neither",0.0290128187581758,3.78982541552913e-05
2,"cancer_and_pain_vs_cancer_only",0.023797617308,4.67339042773893e-05
2,"pain_only_vs_neither",0.0293294339435473,1.29670159308223e-05
2,"cancer_only_vs_neither",0.00521520145017583,2.22495263004684e-05
2,"pain_only_vs_cancer_only",0.0241142324933715,3.19798901737296e-05
3,"cancer_and_pain_vs_neither",0.0290122011772385,3.79172023405997e-05
3,"cancer_and_pain_vs_cancer_only",0.0238048506692522,4.6769547529911e-05
3,"pain_only_vs_neither",0.0293096875831008,1.2949200592425e-05
3,"cancer_only_vs_neither",0.00520735050798631,2.22565102773681e-05
3,"pain_only_vs_cancer_only",0.0241023370751145,3.1978054622149e-05
4,"cancer_and_pain_vs_neither",0.0290091745416028,3.79192697516951e-05
4,"cancer_and_pain_vs_cancer_only",0.0237898573147365,4.67759764391685e-05
4,"pain_only_vs_neither",0.0293239924430961,1.29469085459927e-05
4,"cancer_only_vs_neither",0.00521931722686629,2.22563175751323e-05
4,"pain_only_vs_cancer_only",0.0241046752162298,3.19491938456301e-05
5,"cancer_and_pain_vs_neither",0.0289862891330368,3.78785584880017e-05
5,"cancer_and_pain_vs_cancer_only",0.0237806320245123,4.67752089242514e-05
5,"pain_only_vs_neither",0.0293133079861698,1.29534656920461e-05
5,"cancer_only_vs_neither",0.00520565710852449,2.22506372604908e-05
5,"pain_only_vs_cancer_only",0.0241076508776453,3.19762973375527e-05
6,"cancer_and_pain_vs_neither",0.028994445950593,3.78991216736486e-05
6,"cancer_and_pain_vs_cancer_only",0.0237781328569681,4.67942681239637e-05
6,"pain_only_vs_neither",0.0293288662320873,1.29711121976369e-05
6,"cancer_only_vs_neither",0.00521631309362486,2.22542809220968e-05
6,"pain_only_vs_cancer_only",0.0241125531384625,3.19694808295958e-05
7,"cancer_and_pain_vs_neither",0.0290107658330048,3.79199597039319e-05
7,"cancer_and_pain_vs_cancer_only",0.0237967437056546,4.67471035638023e-05
7,"pain_only_vs_neither",0.0293152619923179,1.29575636757751e-05
7,"cancer_only_vs_neither",0.00521402212735021,2.22578264705304e-05
7,"pain_only_vs_cancer_only",0.0241012398649677,3.19705756606828e-05
8,"cancer_and_pain_vs_neither",0.0290096410730834,3.79156291381625e-05
8,"cancer_and_pain_vs_cancer_only",0.0237922487764857,4.67435283986556e-05
8,"pain_only_vs_neither",0.02931364220905,1.29556100893003e-05
8,"cancer_only_vs_neither",0.0052173922965977,2.22540444139861e-05
8,"pain_only_vs_cancer_only",0.0240962499124523,3.19560396406875e-05
9,"cancer_and_pain_vs_neither",0.0290013239873492,3.79352780970719e-05
9,"cancer_and_pain_vs_cancer_only",0.0237858424391187,4.67904252678775e-05
9,"pain_only_vs_neither",0.0293220701459135,1.29519277328825e-05
9,"cancer_only_vs_neither",0.00521548154823052,2.22534678528442e-05
9,"pain_only_vs_cancer_only",0.024106588597683,3.1966888164762e-05
10,"cancer_and_pain_vs_neither",0.0289946179371389,3.78717790481483e-05
10,"cancer_and_pain_vs_cancer_only",0.023790341656805,4.67294338569865e-05
10,"pain_only_vs_neither",0.0293385503310004,1.29562869522121e-05
10,"cancer_only_vs_neither",0.0052042762803339,2.2230992612541e-05
10,"pain_only_vs_cancer_only",0.0241342740506665,3.19497308871736e-05
11,"cancer_and_pain_vs_neither",0.0290199272482959,3.79133813317098e-05
11,"cancer_and_pain_vs_cancer_only",0.0238075905593641,4.67523700665765e-05
11,"pain_only_vs_neither",0.0293152134054692,1.29568397469137e-05
11,"cancer_only_vs_neither",0.00521233668893179,2.22496936244674e-05
11,"pain_only_vs_cancer_only",0.0241028767165374,3.19800248492911e-05
12,"cancer_and_pain_vs_neither",0.028998437113158,3.79077934605847e-05
12,"cancer_and_pain_vs_cancer_only",0.0237837223280993,4.67694038831504e-05
12,"pain_only_vs_neither",0.0293123429887115,1.29543858454998e-05
12,"cancer_only_vs_neither",0.00521471478505871,2.22559777731053e-05
12,"pain_only_vs_cancer_only",0.0240976282036527,3.19574189626378e-05
13,"cancer_and_pain_vs_neither",0.0290073166036737,3.79079641751329e-05
13,"cancer_and_pain_vs_cancer_only",0.0238025451303007,4.67532004525131e-05
13,"pain_only_vs_neither",0.0293215495762477,1.29698103735745e-05
13,"cancer_only_vs_neither",0.00520477147337299,2.22478045611086e-05
13,"pain_only_vs_cancer_only",0.0241167781028747,3.19718210455733e-05
14,"cancer_and_pain_vs_neither",0.0290068997954164,3.79043816007775e-05
14,"cancer_and_pain_vs_cancer_only",0.0237890400990486,4.67540850384189e-05
14,"pain_only_vs_neither",0.0293114876206199,1.29444001324936e-05
14,"cancer_only_vs_neither",0.00521785969636786,2.22522359700856e-05
14,"pain_only_vs_cancer_only",0.024093627924252,3.19544035551956e-05
15,"cancer_and_pain_vs_neither",0.0290033782002592,3.7927618938489e-05
15,"cancer_and_pain_vs_cancer_only",0.0237849840839469,4.67618115045937e-05
15,"pain_only_vs_neither",0.0293349961939538,1.29730304977847e-05
15,"cancer_only_vs_neither",0.00521839411631233,2.22537661113301e-05
15,"pain_only_vs_cancer_only",0.0241166020776414,3.197726630803e-05
16,"cancer_and_pain_vs_neither",0.0290145352992671,3.79184572431591e-05
16,"cancer_and_pain_vs_cancer_only",0.0237992711322818,4.67824992344204e-05
16,"pain_only_vs_neither",0.0293256065076098,1.29423865946046e-05
16,"cancer_only_vs_neither",0.00521526416698522,2.22541512823599e-05
16,"pain_only_vs_cancer_only",0.0241103423406245,3.19826977367329e-05
17,"cancer_and_pain_vs_neither",0.0290249564055036,3.79338332954296e-05
17,"cancer_and_pain_vs_cancer_only",0.0238036451441837,4.67674440860441e-05
17,"pain_only_vs_neither",0.0293324166106472,1.2972367966754e-05
17,"cancer_only_vs_neither",0.00522131126131987,2.22509031609492e-05
17,"pain_only_vs_cancer_only",0.0241111053493273,3.19753938225916e-05
