"variable","iteration","chain","value"
"current_smoking","1","Chain 1",0.0958901034769141
"current_smoking","2","Chain 1",0.0824223923144262
"current_smoking","3","Chain 1",0.0905703575677314
"current_smoking","4","Chain 1",0.0851608269174654
"current_smoking","5","Chain 1",0.121142061906579
"current_smoking","6","Chain 1",0.121142061906579
"current_smoking","7","Chain 1",0.101120064645014
"current_smoking","8","Chain 1",0.0796615115261161
"current_smoking","9","Chain 1",0.111310632757963
"current_smoking","10","Chain 1",0.103701375951157
"current_smoking","11","Chain 1",0.0824223923144262
"current_smoking","12","Chain 1",0.0958901034769141
"current_smoking","13","Chain 1",0.0740724113936836
"current_smoking","14","Chain 1",0.0905703575677314
"current_smoking","15","Chain 1",0.101120064645014
"current_smoking","16","Chain 1",0.0538035060941393
"current_smoking","17","Chain 1",0.0824223923144262
"current_smoking","18","Chain 1",0.0824223923144262
"current_smoking","19","Chain 1",0.108796660007632
"current_smoking","20","Chain 1",0.0712441920495612
"current_smoking","21","Chain 1",0.0567664025498866
"current_smoking","22","Chain 1",0.0851608269174654
"current_smoking","23","Chain 1",0.116271239702813
"current_smoking","24","Chain 1",0.0985163071535992
"current_smoking","25","Chain 1",0.0851608269174654
"current_smoking","26","Chain 1",0.0683935265201679
"current_smoking","27","Chain 1",0.0626248569055689
"current_smoking","28","Chain 1",0.0626248569055689
"current_smoking","29","Chain 1",0.0932414536149581
"current_smoking","30","Chain 1",0.0905703575677314
"current_smoking","31","Chain 1",0.0932414536149581
"current_smoking","32","Chain 1",0.0740724113936836
"current_smoking","33","Chain 1",0.111310632757963
"current_smoking","34","Chain 1",0.0655204148055038
"current_smoking","35","Chain 1",0.0878768153352338
"current_smoking","36","Chain 1",0.0824223923144262
"current_smoking","37","Chain 1",0.0958901034769141
"current_smoking","38","Chain 1",0.0851608269174654
"current_smoking","39","Chain 1",0.0768781845525353
"current_smoking","40","Chain 1",0.0905703575677314
"current_smoking","41","Chain 1",0.0878768153352338
"current_smoking","42","Chain 1",0.0905703575677314
"current_smoking","43","Chain 1",0.0905703575677314
"current_smoking","44","Chain 1",0.0824223923144262
"current_smoking","45","Chain 1",0.0932414536149581
"current_smoking","46","Chain 1",0.0796615115261161
"current_smoking","47","Chain 1",0.103701375951157
"current_smoking","48","Chain 1",0.0932414536149581
"current_smoking","49","Chain 1",0.0824223923144262
"current_smoking","50","Chain 1",0.0796615115261161
"current_smoking","1","Chain 2",0.101120064645014
"current_smoking","2","Chain 2",0.0683935265201679
"current_smoking","3","Chain 2",0.0905703575677314
"current_smoking","4","Chain 2",0.0851608269174654
"current_smoking","5","Chain 2",0.0851608269174654
"current_smoking","6","Chain 2",0.0958901034769141
"current_smoking","7","Chain 2",0.0958901034769141
"current_smoking","8","Chain 2",0.0958901034769141
"current_smoking","9","Chain 2",0.0905703575677314
"current_smoking","10","Chain 2",0.118717873897331
"current_smoking","11","Chain 2",0.0878768153352338
"current_smoking","12","Chain 2",0.10626024107203
"current_smoking","13","Chain 2",0.0878768153352338
"current_smoking","14","Chain 2",0.0768781845525353
"current_smoking","15","Chain 2",0.0824223923144262
"current_smoking","16","Chain 2",0.0796615115261161
"current_smoking","17","Chain 2",0.0958901034769141
"current_smoking","18","Chain 2",0.0712441920495612
"current_smoking","19","Chain 2",0.0740724113936836
"current_smoking","20","Chain 2",0.0878768153352338
"current_smoking","21","Chain 2",0.0985163071535992
"current_smoking","22","Chain 2",0.0712441920495612
"current_smoking","23","Chain 2",0.0932414536149581
"current_smoking","24","Chain 2",0.0683935265201679
"current_smoking","25","Chain 2",0.101120064645014
"current_smoking","26","Chain 2",0.10626024107203
"current_smoking","27","Chain 2",0.0958901034769141
"current_smoking","28","Chain 2",0.0824223923144262
"current_smoking","29","Chain 2",0.0740724113936836
"current_smoking","30","Chain 2",0.101120064645014
"current_smoking","31","Chain 2",0.0958901034769141
"current_smoking","32","Chain 2",0.0768781845525353
"current_smoking","33","Chain 2",0.103701375951157
"current_smoking","34","Chain 2",0.10626024107203
"current_smoking","35","Chain 2",0.0958901034769141
"current_smoking","36","Chain 2",0.0905703575677314
"current_smoking","37","Chain 2",0.0796615115261161
"current_smoking","38","Chain 2",0.0905703575677314
"current_smoking","39","Chain 2",0.0712441920495612
"current_smoking","40","Chain 2",0.0626248569055689
"current_smoking","41","Chain 2",0.103701375951157
"current_smoking","42","Chain 2",0.0878768153352338
"current_smoking","43","Chain 2",0.0768781845525353
"current_smoking","44","Chain 2",0.0878768153352338
"current_smoking","45","Chain 2",0.101120064645014
"current_smoking","46","Chain 2",0.113802159323023
"current_smoking","47","Chain 2",0.0740724113936836
"current_smoking","48","Chain 2",0.0768781845525353
"current_smoking","49","Chain 2",0.0932414536149581
"current_smoking","50","Chain 2",0.0768781845525353
"current_smoking","1","Chain 3",0.0851608269174654
"current_smoking","2","Chain 3",0.0824223923144262
"current_smoking","3","Chain 3",0.0655204148055038
"current_smoking","4","Chain 3",0.101120064645014
"current_smoking","5","Chain 3",0.0824223923144262
"current_smoking","6","Chain 3",0.0932414536149581
"current_smoking","7","Chain 3",0.108796660007632
"current_smoking","8","Chain 3",0.0878768153352338
"current_smoking","9","Chain 3",0.0824223923144262
"current_smoking","10","Chain 3",0.101120064645014
"current_smoking","11","Chain 3",0.0740724113936836
"current_smoking","12","Chain 3",0.0824223923144262
"current_smoking","13","Chain 3",0.0683935265201679
"current_smoking","14","Chain 3",0.0626248569055689
"current_smoking","15","Chain 3",0.0932414536149581
"current_smoking","16","Chain 3",0.0478103746268322
"current_smoking","17","Chain 3",0.0878768153352338
"current_smoking","18","Chain 3",0.0626248569055689
"current_smoking","19","Chain 3",0.0958901034769141
"current_smoking","20","Chain 3",0.0985163071535992
"current_smoking","21","Chain 3",0.0768781845525353
"current_smoking","22","Chain 3",0.0932414536149581
"current_smoking","23","Chain 3",0.0985163071535992
"current_smoking","24","Chain 3",0.101120064645014
"current_smoking","25","Chain 3",0.0878768153352338
"current_smoking","26","Chain 3",0.0851608269174654
"current_smoking","27","Chain 3",0.0878768153352338
"current_smoking","28","Chain 3",0.101120064645014
"current_smoking","29","Chain 3",0.0796615115261161
"current_smoking","30","Chain 3",0.0905703575677314
"current_smoking","31","Chain 3",0.0796615115261161
"current_smoking","32","Chain 3",0.108796660007632
"current_smoking","33","Chain 3",0.103701375951157
"current_smoking","34","Chain 3",0.0824223923144262
"current_smoking","35","Chain 3",0.0905703575677314
"current_smoking","36","Chain 3",0.0958901034769141
"current_smoking","37","Chain 3",0.0796615115261161
"current_smoking","38","Chain 3",0.0824223923144262
"current_smoking","39","Chain 3",0.0740724113936836
"current_smoking","40","Chain 3",0.108796660007632
"current_smoking","41","Chain 3",0.118717873897331
"current_smoking","42","Chain 3",0.0626248569055689
"current_smoking","43","Chain 3",0.0878768153352338
"current_smoking","44","Chain 3",0.0932414536149581
"current_smoking","45","Chain 3",0.0851608269174654
"current_smoking","46","Chain 3",0.0958901034769141
"current_smoking","47","Chain 3",0.0768781845525353
"current_smoking","48","Chain 3",0.0796615115261161
"current_smoking","49","Chain 3",0.0626248569055689
"current_smoking","50","Chain 3",0.0878768153352338
"current_smoking","1","Chain 4",0.0878768153352338
"current_smoking","2","Chain 4",0.0824223923144262
"current_smoking","3","Chain 4",0.103701375951157
"current_smoking","4","Chain 4",0.0768781845525353
"current_smoking","5","Chain 4",0.0768781845525353
"current_smoking","6","Chain 4",0.0768781845525353
"current_smoking","7","Chain 4",0.0985163071535992
"current_smoking","8","Chain 4",0.0796615115261161
"current_smoking","9","Chain 4",0.0824223923144262
"current_smoking","10","Chain 4",0.10626024107203
"current_smoking","11","Chain 4",0.0958901034769141
"current_smoking","12","Chain 4",0.0851608269174654
"current_smoking","13","Chain 4",0.101120064645014
"current_smoking","14","Chain 4",0.0740724113936836
"current_smoking","15","Chain 4",0.10626024107203
"current_smoking","16","Chain 4",0.0958901034769141
"current_smoking","17","Chain 4",0.0824223923144262
"current_smoking","18","Chain 4",0.0985163071535992
"current_smoking","19","Chain 4",0.0824223923144262
"current_smoking","20","Chain 4",0.101120064645014
"current_smoking","21","Chain 4",0.0958901034769141
"current_smoking","22","Chain 4",0.101120064645014
"current_smoking","23","Chain 4",0.0824223923144262
"current_smoking","24","Chain 4",0.0796615115261161
"current_smoking","25","Chain 4",0.111310632757963
"current_smoking","26","Chain 4",0.10626024107203
"current_smoking","27","Chain 4",0.0932414536149581
"current_smoking","28","Chain 4",0.0958901034769141
"current_smoking","29","Chain 4",0.0740724113936836
"current_smoking","30","Chain 4",0.108796660007632
"current_smoking","31","Chain 4",0.0851608269174654
"current_smoking","32","Chain 4",0.0932414536149581
"current_smoking","33","Chain 4",0.0768781845525353
"current_smoking","34","Chain 4",0.0878768153352338
"current_smoking","35","Chain 4",0.0905703575677314
"current_smoking","36","Chain 4",0.103701375951157
"current_smoking","37","Chain 4",0.0932414536149581
"current_smoking","38","Chain 4",0.0712441920495612
"current_smoking","39","Chain 4",0.0905703575677314
"current_smoking","40","Chain 4",0.0958901034769141
"current_smoking","41","Chain 4",0.0985163071535992
"current_smoking","42","Chain 4",0.101120064645014
"current_smoking","43","Chain 4",0.0824223923144262
"current_smoking","44","Chain 4",0.0932414536149581
"current_smoking","45","Chain 4",0.0768781845525353
"current_smoking","46","Chain 4",0.108796660007632
"current_smoking","47","Chain 4",0.0824223923144262
"current_smoking","48","Chain 4",0.0985163071535992
"current_smoking","49","Chain 4",0.111310632757963
"current_smoking","50","Chain 4",0.113802159323023
"current_smoking","1","Chain 5",0.0985163071535992
"current_smoking","2","Chain 5",0.0824223923144262
"current_smoking","3","Chain 5",0.0626248569055689
"current_smoking","4","Chain 5",0.0796615115261161
"current_smoking","5","Chain 5",0.111310632757963
"current_smoking","6","Chain 5",0.0824223923144262
"current_smoking","7","Chain 5",0.0712441920495612
"current_smoking","8","Chain 5",0.0985163071535992
"current_smoking","9","Chain 5",0.103701375951157
"current_smoking","10","Chain 5",0.0878768153352338
"current_smoking","11","Chain 5",0.0878768153352338
"current_smoking","12","Chain 5",0.0851608269174654
"current_smoking","13","Chain 5",0.0878768153352338
"current_smoking","14","Chain 5",0.101120064645014
"current_smoking","15","Chain 5",0.0768781845525353
"current_smoking","16","Chain 5",0.0851608269174654
"current_smoking","17","Chain 5",0.0878768153352338
"current_smoking","18","Chain 5",0.0597068528203632
"current_smoking","19","Chain 5",0.0878768153352338
"current_smoking","20","Chain 5",0.0932414536149581
"current_smoking","21","Chain 5",0.113802159323023
"current_smoking","22","Chain 5",0.0958901034769141
"current_smoking","23","Chain 5",0.0824223923144262
"current_smoking","24","Chain 5",0.0768781845525353
"current_smoking","25","Chain 5",0.0958901034769141
"current_smoking","26","Chain 5",0.0932414536149581
"current_smoking","27","Chain 5",0.0958901034769141
"current_smoking","28","Chain 5",0.116271239702813
"current_smoking","29","Chain 5",0.0796615115261161
"current_smoking","30","Chain 5",0.0985163071535992
"current_smoking","31","Chain 5",0.101120064645014
"current_smoking","32","Chain 5",0.0824223923144262
"current_smoking","33","Chain 5",0.103701375951157
"current_smoking","34","Chain 5",0.0932414536149581
"current_smoking","35","Chain 5",0.0824223923144262
"current_smoking","36","Chain 5",0.123543803730556
"current_smoking","37","Chain 5",0.0878768153352338
"current_smoking","38","Chain 5",0.113802159323023
"current_smoking","39","Chain 5",0.0958901034769141
"current_smoking","40","Chain 5",0.0958901034769141
"current_smoking","41","Chain 5",0.0740724113936836
"current_smoking","42","Chain 5",0.0851608269174654
"current_smoking","43","Chain 5",0.0655204148055038
"current_smoking","44","Chain 5",0.0985163071535992
"current_smoking","45","Chain 5",0.0905703575677314
"current_smoking","46","Chain 5",0.0905703575677314
"current_smoking","47","Chain 5",0.123543803730556
