"contrast","log_rr","variance","imputation"
"cancer_and_pain_vs_neither",0.389130120876868,0.00498788128766025,1
"cancer_and_pain_vs_cancer_only",0.307081755081651,0.00753887486141426,1
"pain_only_vs_neither",0.392584749257486,0.00209719050126354,1
"cancer_only_vs_neither",0.0820483657952168,0.00513905685490444,1
"pain_only_vs_cancer_only",0.310536383462269,0.00630803219818959,1
"cancer_and_pain_vs_neither",0.389117353779872,0.00498539271114768,2
"cancer_and_pain_vs_cancer_only",0.307071591020667,0.00753627546034455,2
"pain_only_vs_neither",0.392628915893276,0.00209852501491219,2
"cancer_only_vs_neither",0.0820457627592042,0.00514007628908891,2
"pain_only_vs_cancer_only",0.310583153134071,0.00630880361964683,2
"cancer_and_pain_vs_neither",0.389075556678382,0.00498727028378149,3
"cancer_and_pain_vs_cancer_only",0.307156906487445,0.00754145291553558,3
"pain_only_vs_neither",0.392375092801509,0.00209546823386613,3
"cancer_only_vs_neither",0.081918650190937,0.00514183316340192,3
"pain_only_vs_cancer_only",0.310456442610572,0.00630921641549951,3
"cancer_and_pain_vs_neither",0.389068811889343,0.0049888636016396,4
"cancer_and_pain_vs_cancer_only",0.30696285580916,0.00754251112053425,4
"pain_only_vs_neither",0.392560557302571,0.00209495600451562,4
"cancer_only_vs_neither",0.0821059560801836,0.00514090415868039,4
"pain_only_vs_cancer_only",0.310454601222387,0.00630300920244065,4
"cancer_and_pain_vs_neither",0.388785373623265,0.00498441416938077,5
"cancer_and_pain_vs_cancer_only",0.306892854527206,0.00754589220642658,5
"pain_only_vs_neither",0.392412897337048,0.00209580903953906,5
"cancer_only_vs_neither",0.0818925190960584,0.00514053796728133,5
"pain_only_vs_cancer_only",0.31052037824099,0.00630882171395151,5
"cancer_and_pain_vs_neither",0.388907529683711,0.00498801246531212,6
"cancer_and_pain_vs_cancer_only",0.306846364055539,0.00754787172724943,6
"pain_only_vs_neither",0.39261691303803,0.00209907204953037,6
"cancer_only_vs_neither",0.0820611656281716,0.00514100205767468,6
"pain_only_vs_cancer_only",0.310555747409858,0.00630636400325821,6
"cancer_and_pain_vs_neither",0.389070832473287,0.00498844253623945,7
"cancer_and_pain_vs_cancer_only",0.307048675776675,0.00753758214808917,7
"pain_only_vs_neither",0.392448118647498,0.00209712613509038,7
"cancer_only_vs_neither",0.0820221566966125,0.00514155836975933,7
"pain_only_vs_cancer_only",0.310425961950886,0.00630725054932346,7
"cancer_and_pain_vs_neither",0.389056802263894,0.00498777066987928,8
"cancer_and_pain_vs_cancer_only",0.306984121496312,0.00753645104470551,8
"pain_only_vs_neither",0.392428638394098,0.00209636255456737,8
"cancer_only_vs_neither",0.0820726807675821,0.00514015768727021,8
"pain_only_vs_cancer_only",0.310355957626516,0.00630376899984562,8
"cancer_and_pain_vs_neither",0.388974717232248,0.00499233059155072,9
"cancer_and_pain_vs_cancer_only",0.306928370090556,0.0075456560928117,9
"pain_only_vs_neither",0.392532356502178,0.0020957346315728,9
"cancer_only_vs_neither",0.082046347141692,0.00514055757375248,9
"pain_only_vs_cancer_only",0.310486009360486,0.00630623984075842,9
"cancer_and_pain_vs_neither",0.388920048669352,0.00498406219040886,10
"cancer_and_pain_vs_cancer_only",0.307038108852885,0.00753799662484773,10
"pain_only_vs_neither",0.392734816887622,0.00209627723031029,10
"cancer_only_vs_neither",0.0818819398164672,0.00513772697973868,10
"pain_only_vs_cancer_only",0.310852877071155,0.00630360733404561,10
"cancer_and_pain_vs_neither",0.389174449893903,0.00498611902576079,11
"cancer_and_pain_vs_cancer_only",0.307177300217337,0.0075377479696496,11
"pain_only_vs_neither",0.392449431265492,0.00209654466240152,11
"cancer_only_vs_neither",0.0819971496765664,0.0051398597885107,11
"pain_only_vs_cancer_only",0.310452281588926,0.00630873349499059,11
"cancer_and_pain_vs_neither",0.38892596583617,0.00498785568914093,12
"cancer_and_pain_vs_cancer_only",0.306895274723741,0.00754251660113301,12
"pain_only_vs_neither",0.3924078558587,0.00209629603224366,12
"cancer_only_vs_neither",0.0820306911124289,0.00514071981022325,12
"pain_only_vs_cancer_only",0.310377164746271,0.0063047138678745,12
"cancer_and_pain_vs_neither",0.389037804741965,0.00498724833002399,13
"cancer_and_pain_vs_cancer_only",0.3071540808045,0.00754011376255133,13
"pain_only_vs_neither",0.392523069815582,0.00209886246755995,13
"cancer_only_vs_neither",0.0818837239374645,0.00514070512635618,13
"pain_only_vs_cancer_only",0.310639345878117,0.0063081374055338,13
"cancer_and_pain_vs_neither",0.38902231412254,0.00498612977234081,14
"cancer_and_pain_vs_cancer_only",0.30694356025276,0.00753864689749973,14
"pain_only_vs_neither",0.392400720679988,0.00209427003082921,14
"cancer_only_vs_neither",0.0820787538697797,0.00513944512448171,14
"pain_only_vs_cancer_only",0.310321966810209,0.00630353275273953,14
"cancer_and_pain_vs_neither",0.389019965642678,0.00499190472290145,15
"cancer_and_pain_vs_cancer_only",0.306924146450968,0.00754146255180316,15
"pain_only_vs_neither",0.392698060523564,0.00209932602167824,15
