"imputation","phenotype","estimate","variance"
1,"neither",0.0609935564047588,3.51916106808699e-06
1,"cancer_only",0.0662090123358054,2.27739878742966e-05
1,"pain_only",0.0903194630763815,9.54310051908054e-06
1,"cancer_and_pain",0.0900079812327047,3.78701677985221e-05
2,"neither",0.0609925958037847,3.51965616634974e-06
2,"cancer_only",0.0662077972539606,2.27737784941648e-05
2,"pain_only",0.0903220297473321,9.54292887961675e-06
2,"cancer_and_pain",0.0900054145619606,3.7861099369938e-05
3,"neither",0.0609992068211355,3.51961235025638e-06
3,"cancer_only",0.0662065573291218,2.27763890338174e-05
3,"pain_only",0.0903088944042364,9.54214058676072e-06
3,"cancer_and_pain",0.090011407998374,3.78756333135585e-05
4,"neither",0.0609941195655456,3.51615846241592e-06
4,"cancer_only",0.0662134367924119,2.27716098128448e-05
4,"pain_only",0.0903181120086418,9.53728984164506e-06
4,"cancer_and_pain",0.0900032941071484,3.78649850952326e-05
5,"neither",0.0609996360235044,3.5185705011228e-06
5,"cancer_only",0.0662052931320289,2.27759778774074e-05
5,"pain_only",0.0903129440096742,9.54596530635711e-06
5,"cancer_and_pain",0.0899859251565412,3.78447159309024e-05
6,"neither",0.060993669742068,3.5212383626506e-06
6,"cancer_only",0.0662099828356928,2.27717011701712e-05
6,"pain_only",0.0903225359741553,9.54782500245325e-06
6,"cancer_and_pain",0.0899881156926609,3.7849656816859e-05
7,"neither",0.0609970829909725,3.52003935946028e-06
7,"cancer_only",0.0662111051183227,2.27761680908576e-05
7,"pain_only",0.0903123449832903,9.54000263979041e-06
7,"cancer_and_pain",0.0900078488239772,3.78714678108499e-05
8,"neither",0.060997373284419,3.51793669865218e-06
8,"cancer_only",0.0662147655810167,2.27708565635466e-05
8,"pain_only",0.090311015493469,9.54425845494951e-06
8,"cancer_and_pain",0.0900070143575024,3.78676481028984e-05
9,"neither",0.0609954190797047,3.51923628873132e-06
9,"cancer_only",0.0662109006279352,2.27740089580487e-05
9,"pain_only",0.0903174892256182,9.54369005029852e-06
9,"cancer_and_pain",0.0899967430670539,3.78704979808326e-05
10,"neither",0.0609916617333039,3.51896100749589e-06
10,"cancer_only",0.0661959380136378,2.27450232492375e-05
10,"pain_only",0.0903302120643042,9.54391388096304e-06
10,"cancer_and_pain",0.0899862796704428,3.78324608129918e-05
11,"neither",0.060996735235052,3.5183218597471e-06
11,"cancer_only",0.0662090719239838,2.27731877930145e-05
11,"pain_only",0.0903119486405211,9.54545169467794e-06
11,"cancer_and_pain",0.0900166624833479,3.78736876121701e-05
12,"neither",0.0609985753702155,3.51797109596957e-06
12,"cancer_only",0.0662132901552742,2.27764418514549e-05
12,"pain_only",0.0903109183589269,9.54108291161217e-06
12,"cancer_and_pain",0.0899970124833734,3.78580149169479e-05
13,"neither",0.0609960809659066,3.52161157626738e-06
13,"cancer_only",0.0662008524392796,2.2769682798446e-05
13,"pain_only",0.0903176305421543,9.54880717115941e-06
13,"cancer_and_pain",0.0900033975695802,3.78646063458288e-05
14,"neither",0.0609981363019668,3.51730211358993e-06
14,"cancer_only",0.0662159959983346,2.27742279763813e-05
14,"pain_only",0.0903096239225866,9.54450579567181e-06
14,"cancer_and_pain",0.0900050360973832,3.78627605343486e-05
15,"neither",0.0609911752427913,3.52062333499861e-06
15,"cancer_only",0.0662095693591037,2.27716960819849e-05
15,"pain_only",0.0903261714367451,9.54822780996103e-06
15,"cancer_and_pain",0.0899945534430506,3.78611427858924e-05
16,"neither",0.0609936560344823,3.5163114341468e-06
16,"cancer_only",0.0662089202014675,2.27801916111352e-05
16,"pain_only",0.0903192625420921,9.54098055999151e-06
16,"cancer_and_pain",0.0900081913337494,3.78717555442535e-05
17,"neither",0.0609905698270173,3.51916047268205e-06
17,"cancer_only",0.0662118810883371,2.27748162652662e-05
17,"pain_only",0.0903229864376645,9.5475045319473e-06
17,"cancer_and_pain",0.0900155262325209,3.78826372472156e-05
18,"neither",0.0609933292856915,3.51914896650586e-06
18,"cancer_only",0.0662088977226698,2.27646528323616e-05
18,"pain_only",0.0903213796152326,9.54256608533382e-06
18,"cancer_and_pain",0.0899997612634887,3.78772531001626e-05
19,"neither",0.0609961802080034,3.51818563823886e-06
19,"cancer_only",0.0662115755896139,2.27790160419998e-05
19,"pain_only",0.0903134628924032,9.54831814396448e-06
19,"cancer_and_pain",0.0900103989494962,3.78813615750948e-05
20,"neither",0.0609946756211602,3.5202305432466e-06
20,"cancer_only",0.066202734871623,2.27657640423671e-05
20,"pain_only",0.0903182311795954,9.54815725969653e-06
20,"cancer_and_pain",0.0900121268490664,3.78792134127921e-05
