"imputation","contrast","estimate","variance"
1,"cancer_and_pain_vs_neither",0.13916022060683,0.000491301708733472
1,"cancer_and_pain_vs_cancer_only",0.0216039876212508,0.00105135664548191
1,"pain_only_vs_neither",0.1074414461438,0.00027302145049094
1,"cancer_only_vs_neither",0.117556232985579,0.000870893756488438
1,"pain_only_vs_cancer_only",-0.0101147868417791,0.000846544673185528
2,"cancer_and_pain_vs_neither",0.139030867698802,0.000491036606152762
2,"cancer_and_pain_vs_cancer_only",0.0214359204615431,0.00105177339311467
2,"pain_only_vs_neither",0.107515663545083,0.000274308523424605
2,"cancer_only_vs_neither",0.117594947237259,0.000870892667977427
2,"pain_only_vs_cancer_only",-0.0100792836921763,0.000845705435753479
3,"cancer_and_pain_vs_neither",0.13907139837227,0.000491153307384325
3,"cancer_and_pain_vs_cancer_only",0.0215038188521017,0.00105074388117354
3,"pain_only_vs_neither",0.1075225698043,0.000274230347872886
3,"cancer_only_vs_neither",0.117567579520169,0.000870967314898089
3,"pain_only_vs_cancer_only",-0.0100450097158682,0.000845800958257448
4,"cancer_and_pain_vs_neither",0.139163072865263,0.000491353327027031
4,"cancer_and_pain_vs_cancer_only",0.0215745373550944,0.00105197517400518
4,"pain_only_vs_neither",0.107392601982243,0.00027309327839166
4,"cancer_only_vs_neither",0.117588535510169,0.000871082792073728
4,"pain_only_vs_cancer_only",-0.0101959335279258,0.000846905679567208
5,"cancer_and_pain_vs_neither",0.139122744686581,0.000491346060093831
5,"cancer_and_pain_vs_cancer_only",0.0215021171115455,0.00105187082863795
5,"pain_only_vs_neither",0.107488518216652,0.000273904176378317
5,"cancer_only_vs_neither",0.117620627575035,0.000871206939637913
5,"pain_only_vs_cancer_only",-0.0101321093583832,0.000845894306389985
6,"cancer_and_pain_vs_neither",0.139163057828552,0.000491189700886739
6,"cancer_and_pain_vs_cancer_only",0.021544229737171,0.00105178593775401
6,"pain_only_vs_neither",0.107474391502142,0.000274131542782438
6,"cancer_only_vs_neither",0.117618828091381,0.000871072263105789
6,"pain_only_vs_cancer_only",-0.0101444365892385,0.000845709831455903
7,"cancer_and_pain_vs_neither",0.139175167245288,0.000491444006975674
7,"cancer_and_pain_vs_cancer_only",0.0215734180102264,0.0010521119757011
7,"pain_only_vs_neither",0.107342000064957,0.00027298506385663
7,"cancer_only_vs_neither",0.117601749235061,0.000871155049833503
7,"pain_only_vs_cancer_only",-0.0102597491701039,0.000846315216403978
8,"cancer_and_pain_vs_neither",0.139147690575589,0.000491656605638559
8,"cancer_and_pain_vs_cancer_only",0.0215272537046887,0.00105226999150151
8,"pain_only_vs_neither",0.107411546960209,0.000273882147934671
8,"cancer_only_vs_neither",0.1176204368709,0.000871246402648107
8,"pain_only_vs_cancer_only",-0.0102088899106909,0.000845678401688505
9,"cancer_and_pain_vs_neither",0.139170797374592,0.000491188586311376
9,"cancer_and_pain_vs_cancer_only",0.0216640666800878,0.00105222875339751
9,"pain_only_vs_neither",0.107456871443805,0.000274239366415017
9,"cancer_only_vs_neither",0.117506730694504,0.00087195115213162
9,"pain_only_vs_cancer_only",-0.0100498592506991,0.00084684232492822
10,"cancer_and_pain_vs_neither",0.139120978861205,0.000491540376375758
10,"cancer_and_pain_vs_cancer_only",0.0215673279138565,0.00105139497370486
10,"pain_only_vs_neither",0.107436348809302,0.000274070014061913
10,"cancer_only_vs_neither",0.117553650947348,0.000871286014061621
10,"pain_only_vs_cancer_only",-0.0101173021380462,0.00084575360225445
11,"cancer_and_pain_vs_neither",0.13918135608686,0.000491053784023969
11,"cancer_and_pain_vs_cancer_only",0.0215524834567569,0.00105192401982784
11,"pain_only_vs_neither",0.107486787955519,0.000274130684631098
11,"cancer_only_vs_neither",0.117628872630103,0.000870979252670272
11,"pain_only_vs_cancer_only",-0.0101420846745847,0.000845637724424541
12,"cancer_and_pain_vs_neither",0.1390961692251,0.000491651647058659
12,"cancer_and_pain_vs_cancer_only",0.0215097858395206,0.00105203616408338
12,"pain_only_vs_neither",0.107401463665637,0.000273956000741936
12,"cancer_only_vs_neither",0.117586383385579,0.000871498665164293
12,"pain_only_vs_cancer_only",-0.0101849197199427,0.000845959891481793
13,"cancer_and_pain_vs_neither",0.139113861209307,0.000491832466820467
13,"cancer_and_pain_vs_cancer_only",0.0215083909252204,0.00105240164075697
13,"pain_only_vs_neither",0.107365694280874,0.000272744763865783
13,"cancer_only_vs_neither",0.117605470284086,0.000871383903235746
13,"pain_only_vs_cancer_only",-0.0102397760032122,0.000846571533416297
14,"cancer_and_pain_vs_neither",0.13911259033855,0.000491205109211039
14,"cancer_and_pain_vs_cancer_only",0.021479056581599,0.00105163084622717
14,"pain_only_vs_neither",0.10751781225331,0.000274412348024958
14,"cancer_only_vs_neither",0.117633533756951,0.000870853347728051
14,"pain_only_vs_cancer_only",-0.0101157215036403,0.000845581617795641
15,"cancer_and_pain_vs_neither",0.139139595349732,0.00049106604022713
15,"cancer_and_pain_vs_cancer_only",0.0215463781900548,0.00105160227657368
15,"pain_only_vs_neither",0.107492863983689,0.000274117528257579
15,"cancer_only_vs_neither",0.117593217159677,0.00087099100503432
15,"pain_only_vs_cancer_only",-0.0101003531759885,0.000845804723095664
16,"cancer_and_pain_vs_neither",0.139192814871361,0.000491036690834403
16,"cancer_and_pain_vs_cancer_only",0.0215439008220611,0.00105185350563539
16,"pain_only_vs_neither",0.107521483645742,0.000274367357920795
16,"cancer_only_vs_neither",0.1176489140493,0.000870848648667005
16,"pain_only_vs_cancer_only",-0.0101274304035571,0.000845873563735744
17,"cancer_and_pain_vs_neither",0.139022884430346,0.000491599410154789
17,"cancer_and_pain_vs_cancer_only",0.0214132169243626,0.00105206180317731
17,"pain_only_vs_neither",0.107429935387729,0.000272839530762036
17,"cancer_only_vs_neither",0.117609667505983,0.000871161564258626
17,"pain_only_vs_cancer_only",-0.0101797321182547,0.000846521095210945
18,"cancer_and_pain_vs_neither",0.139103839179582,0.000491253971385585
18,"cancer_and_pain_vs_cancer_only",0.0215392362857023,0.00105146198256332
18,"pain_only_vs_neither",0.10743628399814,0.000274319840989805
18,"cancer_only_vs_neither",0.11756460289388,0.000871419465653234
18,"pain_only_vs_cancer_only",-0.0101283188957402,0.000846573259014478
19,"cancer_and_pain_vs_neither",0.139097457689716,0.000490904746726509
19,"cancer_and_pain_vs_cancer_only",0.0214791423140265,0.00105181162670599
19,"pain_only_vs_neither",0.107491932095425,0.000274438631090528
19,"cancer_only_vs_neither",0.117618315375689,0.000870943335585215
19,"pain_only_vs_cancer_only",-0.0101263832802639,0.000845888417895795
20,"cancer_and_pain_vs_neither",0.139158981539954,0.000491224732827475
20,"cancer_and_pain_vs_cancer_only",0.0215474188943313,0.00105185547509473
20,"pain_only_vs_neither",0.107461861182111,0.000274356457392065
20,"cancer_only_vs_neither",0.117611562645623,0.000871269027268974
20,"pain_only_vs_cancer_only",-0.0101497014635117,0.000845968084290081
