"variable","iteration","chain","value"
"current_smoking","1","Chain 1",1.25806451612903
"current_smoking","2","Chain 1",1.24193548387097
"current_smoking","3","Chain 1",1.19354838709677
"current_smoking","4","Chain 1",1.19354838709677
"current_smoking","5","Chain 1",1.19354838709677
"current_smoking","6","Chain 1",1.11290322580645
"current_smoking","7","Chain 1",1.16129032258065
"current_smoking","8","Chain 1",1.20967741935484
"current_smoking","9","Chain 1",1.20967741935484
"current_smoking","10","Chain 1",1.16129032258065
"current_smoking","11","Chain 1",1.12903225806452
"current_smoking","12","Chain 1",1.19354838709677
"current_smoking","13","Chain 1",1.12903225806452
"current_smoking","14","Chain 1",1.19354838709677
"current_smoking","15","Chain 1",1.14516129032258
"current_smoking","16","Chain 1",1.17741935483871
"current_smoking","17","Chain 1",1.24193548387097
"current_smoking","18","Chain 1",1.16129032258065
"current_smoking","19","Chain 1",1.25806451612903
"current_smoking","20","Chain 1",1.2741935483871
"current_smoking","21","Chain 1",1.12903225806452
"current_smoking","22","Chain 1",1.17741935483871
"current_smoking","23","Chain 1",1.17741935483871
"current_smoking","24","Chain 1",1.20967741935484
"current_smoking","25","Chain 1",1.19354838709677
"current_smoking","26","Chain 1",1.2258064516129
"current_smoking","27","Chain 1",1.2741935483871
"current_smoking","28","Chain 1",1.20967741935484
"current_smoking","29","Chain 1",1.25806451612903
"current_smoking","30","Chain 1",1.20967741935484
"current_smoking","31","Chain 1",1.16129032258065
"current_smoking","32","Chain 1",1.09677419354839
"current_smoking","33","Chain 1",1.2258064516129
"current_smoking","34","Chain 1",1.12903225806452
"current_smoking","35","Chain 1",1.16129032258065
"current_smoking","36","Chain 1",1.2258064516129
"current_smoking","37","Chain 1",1.17741935483871
"current_smoking","38","Chain 1",1.16129032258065
"current_smoking","39","Chain 1",1.2258064516129
"current_smoking","40","Chain 1",1.16129032258065
"current_smoking","41","Chain 1",1.14516129032258
"current_smoking","42","Chain 1",1.19354838709677
"current_smoking","43","Chain 1",1.11290322580645
"current_smoking","44","Chain 1",1.16129032258065
"current_smoking","45","Chain 1",1.20967741935484
"current_smoking","46","Chain 1",1.16129032258065
"current_smoking","47","Chain 1",1.11290322580645
"current_smoking","48","Chain 1",1.17741935483871
"current_smoking","49","Chain 1",1.19354838709677
"current_smoking","50","Chain 1",1.12903225806452
"current_smoking","1","Chain 2",1.19354838709677
"current_smoking","2","Chain 2",1.2741935483871
"current_smoking","3","Chain 2",1.2258064516129
"current_smoking","4","Chain 2",1.2258064516129
"current_smoking","5","Chain 2",1.24193548387097
"current_smoking","6","Chain 2",1.12903225806452
"current_smoking","7","Chain 2",1.19354838709677
"current_smoking","8","Chain 2",1.20967741935484
"current_smoking","9","Chain 2",1.16129032258065
"current_smoking","10","Chain 2",1.09677419354839
"current_smoking","11","Chain 2",1.24193548387097
"current_smoking","12","Chain 2",1.24193548387097
"current_smoking","13","Chain 2",1.14516129032258
"current_smoking","14","Chain 2",1.24193548387097
"current_smoking","15","Chain 2",1.16129032258065
"current_smoking","16","Chain 2",1.25806451612903
"current_smoking","17","Chain 2",1.24193548387097
"current_smoking","18","Chain 2",1.17741935483871
"current_smoking","19","Chain 2",1.19354838709677
"current_smoking","20","Chain 2",1.11290322580645
"current_smoking","21","Chain 2",1.14516129032258
"current_smoking","22","Chain 2",1.19354838709677
"current_smoking","23","Chain 2",1.17741935483871
"current_smoking","24","Chain 2",1.12903225806452
"current_smoking","25","Chain 2",1.30645161290323
"current_smoking","26","Chain 2",1.12903225806452
"current_smoking","27","Chain 2",1.16129032258065
"current_smoking","28","Chain 2",1.19354838709677
"current_smoking","29","Chain 2",1.14516129032258
"current_smoking","30","Chain 2",1.17741935483871
"current_smoking","31","Chain 2",1.17741935483871
"current_smoking","32","Chain 2",1.16129032258065
"current_smoking","33","Chain 2",1.11290322580645
"current_smoking","34","Chain 2",1.25806451612903
"current_smoking","35","Chain 2",1.2258064516129
"current_smoking","36","Chain 2",1.29032258064516
"current_smoking","37","Chain 2",1.2741935483871
"current_smoking","38","Chain 2",1.2258064516129
"current_smoking","39","Chain 2",1.19354838709677
"current_smoking","40","Chain 2",1.24193548387097
"current_smoking","41","Chain 2",1.19354838709677
"current_smoking","42","Chain 2",1.2258064516129
"current_smoking","43","Chain 2",1.19354838709677
"current_smoking","44","Chain 2",1.2741935483871
"current_smoking","45","Chain 2",1.2741935483871
"current_smoking","46","Chain 2",1.20967741935484
"current_smoking","47","Chain 2",1.12903225806452
"current_smoking","48","Chain 2",1.25806451612903
"current_smoking","49","Chain 2",1.16129032258065
"current_smoking","50","Chain 2",1.17741935483871
"current_smoking","1","Chain 3",1.17741935483871
"current_smoking","2","Chain 3",1.14516129032258
"current_smoking","3","Chain 3",1.24193548387097
"current_smoking","4","Chain 3",1.20967741935484
"current_smoking","5","Chain 3",1.14516129032258
"current_smoking","6","Chain 3",1.25806451612903
"current_smoking","7","Chain 3",1.20967741935484
"current_smoking","8","Chain 3",1.2258064516129
"current_smoking","9","Chain 3",1.17741935483871
"current_smoking","10","Chain 3",1.2741935483871
"current_smoking","11","Chain 3",1.20967741935484
"current_smoking","12","Chain 3",1.30645161290323
"current_smoking","13","Chain 3",1.20967741935484
"current_smoking","14","Chain 3",1.08064516129032
"current_smoking","15","Chain 3",1.2258064516129
"current_smoking","16","Chain 3",1.20967741935484
"current_smoking","17","Chain 3",1.20967741935484
"current_smoking","18","Chain 3",1.24193548387097
"current_smoking","19","Chain 3",1.2258064516129
"current_smoking","20","Chain 3",1.20967741935484
"current_smoking","21","Chain 3",1.16129032258065
"current_smoking","22","Chain 3",1.25806451612903
"current_smoking","23","Chain 3",1.2258064516129
"current_smoking","24","Chain 3",1.19354838709677
"current_smoking","25","Chain 3",1.16129032258065
"current_smoking","26","Chain 3",1.14516129032258
"current_smoking","27","Chain 3",1.16129032258065
"current_smoking","28","Chain 3",1.12903225806452
"current_smoking","29","Chain 3",1.2258064516129
"current_smoking","30","Chain 3",1.19354838709677
