"contrast","log_rr","variance","imputation"
"cancer_and_pain_vs_neither",0.254157765771972,0.00159549448245116,1
"cancer_and_pain_vs_cancer_only",0.0354632725656065,0.00288398478150876,1
"pain_only_vs_neither",0.201648537371841,0.00104745610221348,1
"cancer_only_vs_neither",0.218694493206365,0.00262450320403501,1
"pain_only_vs_cancer_only",-0.0170459558345245,0.00236982320773744,1
"cancer_and_pain_vs_neither",0.25396238276591,0.00159536359752093,2
"cancer_and_pain_vs_cancer_only",0.0351915905621231,0.00288532167208427,2
"pain_only_vs_neither",0.201785473906452,0.00105214682357056,2
"cancer_only_vs_neither",0.218770792203787,0.00262519850473372,2
"pain_only_vs_cancer_only",-0.0169853182973354,0.00236737832439,2
"cancer_and_pain_vs_neither",0.254031032686318,0.00159564414225152,3
"cancer_and_pain_vs_cancer_only",0.0353031079857658,0.002882725639417,3
"pain_only_vs_neither",0.201799874891269,0.00105195879590456,3
"cancer_only_vs_neither",0.218727924700553,0.00262564066086832,3
"pain_only_vs_cancer_only",-0.0169280498092832,0.00236789068760841,3
"cancer_and_pain_vs_neither",0.254150636168832,0.00159548680297653,4
"cancer_and_pain_vs_cancer_only",0.035412436302386,0.00288519493699296,4
"pain_only_vs_neither",0.201555973103733,0.00104764444087111,4
"cancer_only_vs_neither",0.218738199866446,0.00262450151648357,4
"pain_only_vs_cancer_only",-0.0171822267627127,0.00237042981933169,4
"cancer_and_pain_vs_neither",0.254108788678103,0.00159608654318099,5
"cancer_and_pain_vs_cancer_only",0.035296659509557,0.00288518930505873,5
"pain_only_vs_neither",0.201737875896824,0.00105071071560712,5
"cancer_only_vs_neither",0.218812129168546,0.00262576796875699,5
"pain_only_vs_cancer_only",-0.0170742532717225,0.00236769322113278,5
"cancer_and_pain_vs_neither",0.25417218886072,0.00159550159899748,6
"cancer_and_pain_vs_cancer_only",0.0353644841739863,0.00288483673693175,6
"pain_only_vs_neither",0.201712547549872,0.00105153867759855,6
"cancer_only_vs_neither",0.218807704686734,0.0026254251573806,6
"pain_only_vs_cancer_only",-0.0170951571368619,0.00236717206475688,6
"cancer_and_pain_vs_neither",0.254158043066245,0.00159556953027232,7
"cancer_and_pain_vs_cancer_only",0.035408356330493,0.00288518245123256,7
"pain_only_vs_neither",0.201460122889302,0.00104721165250603,7
"cancer_only_vs_neither",0.218749686735752,0.00262445613478844,7
"pain_only_vs_cancer_only",-0.0172895638464495,0.00236848412538905,7
"cancer_and_pain_vs_neither",0.254130548770437,0.00159659908157391,8
"cancer_and_pain_vs_cancer_only",0.0353349163561465,0.00288581861936139,8
"pain_only_vs_neither",0.201592014267769,0.00105058671655413,8
"cancer_only_vs_neither",0.218795632414291,0.00262542809770534,8
"pain_only_vs_cancer_only",-0.0172036181465211,0.0023668043421868,8
"cancer_and_pain_vs_neither",0.254178318519925,0.00159545737811031,9
