"imputation","phenotype","estimate","variance"
1,"neither",0.480898905646981,0.000176125225509213
1,"cancer_only",0.59845513863256,0.00080752858073203
1,"pain_only",0.588340351790781,8.76797922076355e-05
1,"cancer_and_pain",0.620059126253811,0.000296368967788258
2,"neither",0.480870489652228,0.00017639538078895
2,"cancer_only",0.598465436889487,0.000806835073193707
2,"pain_only",0.588386153197311,8.78682213137686e-05
2,"cancer_and_pain",0.61990135735103,0.000296376665378969
3,"neither",0.480863481065207,0.000176422174630714
3,"cancer_only",0.598431060585376,0.000806971226768867
3,"pain_only",0.588386050869508,8.77997070699903e-05
3,"cancer_and_pain",0.619934879437478,0.000296474120331867
4,"neither",0.480924039967516,0.000176131453265071
4,"cancer_only",0.598512575477685,0.000807835449567483
4,"pain_only",0.588316641949759,8.76966386703776e-05
4,"cancer_and_pain",0.620087112832779,0.000296410809845515
5,"neither",0.480874337124289,0.000176322708570973
5,"cancer_only",0.598494964699324,0.000807199198302238
5,"pain_only",0.588362855340941,8.78040450659582e-05
5,"cancer_and_pain",0.61999708181087,0.000296355652943682
6,"neither",0.480877806333566,0.000176355796336472
6,"cancer_only",0.598496634424947,0.000807028314468717
6,"pain_only",0.588352197835708,8.78046117377831e-05
6,"cancer_and_pain",0.620040864162118,0.000296313011876655
7,"neither",0.480949962824486,0.000176086800217116
7,"cancer_only",0.598551712059547,0.000807730323376516
7,"pain_only",0.588291962889444,8.76251184428331e-05
7,"cancer_and_pain",0.620125130069774,0.000296402991848896
8,"neither",0.480913925649624,0.000176346626199414
8,"cancer_only",0.598534362520524,0.000807393878544804
8,"pain_only",0.588325472609833,8.7759218842129e-05
8,"cancer_and_pain",0.620061616225213,0.000296693709903853
9,"neither",0.480891416810261,0.000176372854828797
9,"cancer_only",0.598398147504765,0.000807791204903252
9,"pain_only",0.588348288254066,8.78909615837364e-05
9,"cancer_and_pain",0.620062214184853,0.00029625574957569
10,"neither",0.480906068771527,0.000176360419627679
10,"cancer_only",0.598459719718876,0.000807070133671693
10,"pain_only",0.588342417580829,8.78611364122976e-05
10,"cancer_and_pain",0.620027047632732,0.000296395368276879
11,"neither",0.480868581915497,0.000176341304910481
11,"cancer_only",0.5984974545456,0.000807047293886855
11,"pain_only",0.588355369871016,8.77976187842112e-05
11,"cancer_and_pain",0.620049938002357,0.000296274402609365
12,"neither",0.480926512811453,0.000176343663050339
12,"cancer_only",0.598512896197032,0.000807506111915806
12,"pain_only",0.58832797647709,8.7782814510328e-05
12,"cancer_and_pain",0.620022682036553,0.00029688751881848
13,"neither",0.480943425967694,0.000176133577197753
13,"cancer_only",0.598548896251781,0.000808013189248873
13,"pain_only",0.588309120248568,8.75770048480292e-05
13,"cancer_and_pain",0.620057287177001,0.000297004462528792
14,"neither",0.480858791264175,0.000176554403756622
14,"cancer_only",0.598492325021126,0.000806813771050849
14,"pain_only",0.588376603517486,8.78077045783954e-05
14,"cancer_and_pain",0.619971381602725,0.0002965475390115
15,"neither",0.480871303668659,0.000176318656745916
15,"cancer_only",0.598464520828337,0.000806919630297275
15,"pain_only",0.588364167652348,8.78511268719957e-05
15,"cancer_and_pain",0.620010899018392,0.000296270480343455
16,"neither",0.48084741957161,0.000176537626824625
16,"cancer_only",0.59849633362091,0.000807099439565966
16,"pain_only",0.588368903217352,8.78447741789105e-05
16,"cancer_and_pain",0.620040234442971,0.00029641772317947
17,"neither",0.480917811744462,0.000176115527444333
17,"cancer_only",0.598527479250446,0.000807682557072215
17,"pain_only",0.588347747132191,8.75953676284283e-05
17,"cancer_and_pain",0.619940696174808,0.000296643979855882
18,"neither",0.480907490228712,0.000176391666267359
18,"cancer_only",0.598472093122592,0.000807313736447173
18,"pain_only",0.588343774226851,8.78884928597277e-05
18,"cancer_and_pain",0.620011329408294,0.000296290833924511
19,"neither",0.480875301709494,0.000176532382059438
19,"cancer_only",0.598493617085183,0.00080694070898865
19,"pain_only",0.588367233804919,8.78011770507961e-05
19,"cancer_and_pain",0.619972759399209,0.000296244682187286
20,"neither",0.48088544389291,0.000176458800042744
20,"cancer_only",0.598497006538533,0.000807229716773025
20,"pain_only",0.588347305075021,8.77795672152473e-05
20,"cancer_and_pain",0.620044425432864,0.000296423714005842
