"imputation","contrast","estimate","variance"
1,"cancer_and_pain_vs_neither",0.112597817254716,0.000638947103025892
1,"cancer_and_pain_vs_cancer_only",0.0465125458877758,0.00172566446043582
1,"pain_only_vs_neither",0.108905306916521,0.000295901493379488
1,"cancer_only_vs_neither",0.0660852713669406,0.00141068088697661
1,"pain_only_vs_cancer_only",0.04282003554958,0.00136920948477383
2,"cancer_and_pain_vs_neither",0.112574726653255,0.000638510637763438
2,"cancer_and_pain_vs_cancer_only",0.0465113002087643,0.00172435152819668
2,"pain_only_vs_neither",0.108979822630919,0.000297221866695604
2,"cancer_only_vs_neither",0.0660634264444911,0.00140987112634049
2,"pain_only_vs_cancer_only",0.0429163961864275,0.00136748575613114
3,"cancer_and_pain_vs_neither",0.112658887738601,0.000639032013937686
3,"cancer_and_pain_vs_cancer_only",0.046585848522371,0.00172529765284158
3,"pain_only_vs_neither",0.108910421249695,0.000296049557531189
3,"cancer_only_vs_neither",0.0660730392162299,0.00141070352736263
3,"pain_only_vs_cancer_only",0.042837382033465,0.00136983612038412
4,"cancer_and_pain_vs_neither",0.112617302127,0.000639183853697495
4,"cancer_and_pain_vs_cancer_only",0.0465250476097239,0.00172621060515142
4,"pain_only_vs_neither",0.108851372422688,0.0002958103215991
4,"cancer_only_vs_neither",0.0660922545172759,0.00141116120779261
4,"pain_only_vs_cancer_only",0.0427591179054119,0.00136977326725041
5,"cancer_and_pain_vs_neither",0.112584489432994,0.00063836650822382
5,"cancer_and_pain_vs_cancer_only",0.0465408296137783,0.0017238149599993
5,"pain_only_vs_neither",0.108991598048321,0.000297048922263278
5,"cancer_only_vs_neither",0.0660436598192153,0.00140964275348494
5,"pain_only_vs_cancer_only",0.0429479382291059,0.00136725967815168
6,"cancer_and_pain_vs_neither",0.112626435999879,0.000638932871566469
6,"cancer_and_pain_vs_cancer_only",0.0465600920371589,0.00172527108965185
6,"pain_only_vs_neither",0.10888250622613,0.000295923170542767
6,"cancer_only_vs_neither",0.0660663439627199,0.00141086736626485
6,"pain_only_vs_cancer_only",0.04281616226341,0.00136941608939779
7,"cancer_and_pain_vs_neither",0.112524150208427,0.000638705017206776
7,"cancer_and_pain_vs_cancer_only",0.0464574346672567,0.00172372788417777
7,"pain_only_vs_neither",0.109025359991913,0.000297028180084817
7,"cancer_only_vs_neither",0.0660667155411699,0.00140940700557637
7,"pain_only_vs_cancer_only",0.042958644450743,0.00136704809496837
8,"cancer_and_pain_vs_neither",0.112599652213967,0.000638743107030805
8,"cancer_and_pain_vs_cancer_only",0.0465315327924432,0.00172418893489519
8,"pain_only_vs_neither",0.108944546166648,0.00029691748320388
8,"cancer_only_vs_neither",0.0660681194215236,0.00140999710581091
8,"pain_only_vs_cancer_only",0.0428764267451239,0.00136763957755597
9,"cancer_and_pain_vs_neither",0.112555739083906,0.000638651931620894
9,"cancer_and_pain_vs_cancer_only",0.0464974098121914,0.00172383355356381
9,"pain_only_vs_neither",0.109007915649106,0.000297108014108319
9,"cancer_only_vs_neither",0.066058329271715,0.0014098306237059
9,"pain_only_vs_cancer_only",0.0429495863773907,0.00136786045976955
10,"cancer_and_pain_vs_neither",0.11261791028152,0.000639885496481243
10,"cancer_and_pain_vs_cancer_only",0.0464839285221694,0.00172734737706429
10,"pain_only_vs_neither",0.108751980071036,0.000295718259618582
10,"cancer_only_vs_neither",0.0661339817593506,0.00141197266937946
10,"pain_only_vs_cancer_only",0.0426179983116852,0.00137061435459492
11,"cancer_and_pain_vs_neither",0.112568487911403,0.000639130593775921
11,"cancer_and_pain_vs_cancer_only",0.0464635317525101,0.00172470040976827
11,"pain_only_vs_neither",0.108951258238728,0.000296681737565244
11,"cancer_only_vs_neither",0.0661049561588931,0.00141012492007314
11,"pain_only_vs_cancer_only",0.0428463020798352,0.00136785512151605
12,"cancer_and_pain_vs_neither",0.112608115757549,0.000638766315235439
12,"cancer_and_pain_vs_cancer_only",0.0465202916383213,0.00172500752647665
12,"pain_only_vs_neither",0.108921116101601,0.000297164327703666
12,"cancer_only_vs_neither",0.0660878241192278,0.00141022776971289
12,"pain_only_vs_cancer_only",0.042833291982373,0.00136828458549986
13,"cancer_and_pain_vs_neither",0.112651852911115,0.000638857275778518
13,"cancer_and_pain_vs_cancer_only",0.0465564070096774,0.00172543075142456
13,"pain_only_vs_neither",0.108916162513663,0.000295982834486697
13,"cancer_only_vs_neither",0.066095445901438,0.00141061043777291
13,"pain_only_vs_cancer_only",0.0428207166122251,0.00136938501792426
14,"cancer_and_pain_vs_neither",0.112573493782406,0.000638959692403381
14,"cancer_and_pain_vs_cancer_only",0.0464936449771156,0.00172499238880005
14,"pain_only_vs_neither",0.108935488929169,0.000296093862165509
14,"cancer_only_vs_neither",0.06607984880529,0.001410612602841
14,"pain_only_vs_cancer_only",0.042855640123879,0.00136919439249893
15,"cancer_and_pain_vs_neither",0.112654268837295,0.000638986111003519
15,"cancer_and_pain_vs_cancer_only",0.0465493715359087,0.00172538460168104
15,"pain_only_vs_neither",0.108911376197504,0.000296702658142013
15,"cancer_only_vs_neither",0.0661048973013862,0.00141035971462025
15,"pain_only_vs_cancer_only",0.0428064788961174,0.00136825655603004
16,"cancer_and_pain_vs_neither",0.112545619397382,0.000638950872799504
16,"cancer_and_pain_vs_cancer_only",0.0464870864589858,0.00172485614228473
16,"pain_only_vs_neither",0.108945725577504,0.000296118480006057
16,"cancer_only_vs_neither",0.0660585329383959,0.00141041944829182
16,"pain_only_vs_cancer_only",0.0428871926391078,0.00136902595640492
