"variable","iteration","chain","value"
"current_smoking","1","Chain 1",0.176950998185118
"current_smoking","2","Chain 1",0.186327888687235
"current_smoking","3","Chain 1",0.176950998185118
"current_smoking","4","Chain 1",0.186327888687235
"current_smoking","5","Chain 1",0.156382335148215
"current_smoking","6","Chain 1",0.0943738656987296
"current_smoking","7","Chain 1",0.176950998185118
"current_smoking","8","Chain 1",0.166969147005445
"current_smoking","9","Chain 1",0.176950998185118
"current_smoking","10","Chain 1",0.156382335148215
"current_smoking","11","Chain 1",0.166969147005445
"current_smoking","12","Chain 1",0.176950998185118
"current_smoking","13","Chain 1",0.156382335148215
"current_smoking","14","Chain 1",0.176950998185118
"current_smoking","15","Chain 1",0.107985480943739
"current_smoking","16","Chain 1",0.166969147005445
"current_smoking","17","Chain 1",0.176950998185118
"current_smoking","18","Chain 1",0.14519056261343
"current_smoking","19","Chain 1",0.176950998185118
"current_smoking","20","Chain 1",0.176950998185118
"current_smoking","21","Chain 1",0.133393829401089
"current_smoking","22","Chain 1",0.186327888687235
"current_smoking","23","Chain 1",0.176950998185118
"current_smoking","24","Chain 1",0.166969147005445
"current_smoking","25","Chain 1",0.14519056261343
"current_smoking","26","Chain 1",0.14519056261343
"current_smoking","27","Chain 1",0.176950998185118
"current_smoking","28","Chain 1",0.195099818511797
"current_smoking","29","Chain 1",0.176950998185118
"current_smoking","30","Chain 1",0.14519056261343
"current_smoking","31","Chain 1",0.14519056261343
"current_smoking","32","Chain 1",0.166969147005445
"current_smoking","33","Chain 1",0.166969147005445
"current_smoking","34","Chain 1",0.14519056261343
"current_smoking","35","Chain 1",0.107985480943739
"current_smoking","36","Chain 1",0.133393829401089
"current_smoking","37","Chain 1",0.120992135511192
"current_smoking","38","Chain 1",0.176950998185118
"current_smoking","39","Chain 1",0.133393829401089
"current_smoking","40","Chain 1",0.186327888687235
"current_smoking","41","Chain 1",0.14519056261343
"current_smoking","42","Chain 1",0.186327888687235
"current_smoking","43","Chain 1",0.133393829401089
"current_smoking","44","Chain 1",0.14519056261343
"current_smoking","45","Chain 1",0.133393829401089
"current_smoking","46","Chain 1",0.195099818511797
"current_smoking","47","Chain 1",0.14519056261343
"current_smoking","48","Chain 1",0.176950998185118
"current_smoking","49","Chain 1",0.0943738656987296
"current_smoking","50","Chain 1",0.176950998185118
"current_smoking","1","Chain 2",0.14519056261343
"current_smoking","2","Chain 2",0.166969147005445
