"contrast","log_rr","variance","imputation"
"cancer_and_pain_vs_neither",0.222929714926868,0.00241332720234352,1
"cancer_and_pain_vs_cancer_only",0.0861533403464969,0.00623799208230667,1
"pain_only_vs_neither",0.216354999311146,0.00130049652150997,1
"cancer_only_vs_neither",0.136776374580371,0.00543003322658587,1
"pain_only_vs_cancer_only",0.0795786247307757,0.00510015855621582,1
"cancer_and_pain_vs_neither",0.222905589447811,0.00241268789916762,2
"cancer_and_pain_vs_cancer_only",0.0861606914652144,0.00623451038229076,2
"pain_only_vs_neither",0.216504527978829,0.00130613804550454,2
"cancer_only_vs_neither",0.136744897982597,0.00542887728518879,2
"pain_only_vs_cancer_only",0.0797596299962324,0.00509485508770086,2
"cancer_and_pain_vs_neither",0.223041888842169,0.00241343733572397,3
"cancer_and_pain_vs_cancer_only",0.0862867486312165,0.00623706570743675,3
"pain_only_vs_neither",0.216367831009938,0.00130113651693102,3
"cancer_only_vs_neither",0.136755140210953,0.00543027472702506,3
"pain_only_vs_cancer_only",0.0796126907989849,0.00510286773912182,3
"cancer_and_pain_vs_neither",0.222952063998284,0.00241372740551174,4
"cancer_and_pain_vs_cancer_only",0.0861700050331749,0.00623915741979596,4
"pain_only_vs_neither",0.216246744025023,0.00129999819170069,4
"cancer_only_vs_neither",0.136782058965109,0.00543097032411782,4
"pain_only_vs_cancer_only",0.0794646850599138,0.00510165098805261,4
"cancer_and_pain_vs_neither",0.222925904350944,0.00241208231588774,5
"cancer_and_pain_vs_cancer_only",0.0862173379001898,0.00623308518291037,5
"pain_only_vs_neither",0.216528472501386,0.00130538098053439,5
"cancer_only_vs_neither",0.136708566450754,0.00542852960892768,5
"pain_only_vs_cancer_only",0.0798199060506316,0.00509448281065772,5
"cancer_and_pain_vs_neither",0.222975874593473,0.00241312302741045,6
"cancer_and_pain_vs_cancer_only",0.0862390736914806,0.00623670493595989,6
"pain_only_vs_neither",0.216309761679135,0.0013005855034018,6
"cancer_only_vs_neither",0.136736800901993,0.0054309107810867,6
"pain_only_vs_cancer_only",0.0795729607771424,0.00510107967755156,6
"cancer_and_pain_vs_neither",0.222824756256213,0.00241344571033483,7
"cancer_and_pain_vs_cancer_only",0.086067774863815,0.00623273360139325,7
"pain_only_vs_neither",0.216594583717649,0.00130531228228,7
"cancer_only_vs_neither",0.136756981392398,0.00542743756909636,7
"pain_only_vs_cancer_only",0.0798376023252506,0.00509351820273298,7
"cancer_and_pain_vs_neither",0.22294238195293,0.00241304783361685,8
"cancer_and_pain_vs_cancer_only",0.0861931678266383,0.00623337994661075,8
"pain_only_vs_neither",0.216434259136175,0.00130477571736856,8
"cancer_only_vs_neither",0.136749214126292,0.00542875478233282,8
"pain_only_vs_cancer_only",0.0796850450098832,0.00509506154808775,8
"cancer_and_pain_vs_neither",0.222877831698717,0.00241307863716979,9
"cancer_and_pain_vs_cancer_only",0.0861389925324726,0.00623311996308425,9
"pain_only_vs_neither",0.216560502496703,0.00130566884771519,9
"cancer_only_vs_neither",0.136738839166245,0.00542903310879728,9
"pain_only_vs_cancer_only",0.0798216633304584,0.00509650397818247,9
"cancer_and_pain_vs_neither",0.222929511096791,0.00241561729877291,10
"cancer_and_pain_vs_cancer_only",0.0860818693689734,0.00624123381222504,10
"pain_only_vs_neither",0.216046184854753,0.00129948949001778,10
"cancer_only_vs_neither",0.136847641727818,0.00543184036289061,10
"pain_only_vs_cancer_only",0.0791985431269352,0.00510312977963297,10
"cancer_and_pain_vs_neither",0.222887946708784,0.0024141661574086,11
"cancer_and_pain_vs_cancer_only",0.0860669125724469,0.00623455152331233,11
"pain_only_vs_neither",0.216447102504861,0.00130375679338389,11
"cancer_only_vs_neither",0.136821034136337,0.0054283672126861,11
"pain_only_vs_cancer_only",0.0796260683685238,0.00509525968507782,11
