"imputation","phenotype","estimate","variance"
1,"neither",0.450873283050943,0.000203712336525858
1,"cancer_only",0.516958554417884,0.00136810993826705
1,"pain_only",0.559778589967464,8.67409008715553e-05
1,"cancer_and_pain",0.56347110030566,0.000383854142559772
2,"neither",0.450835250784335,0.00020409102392713
2,"cancer_only",0.516898677228826,0.00136653457175371
2,"pain_only",0.559815073415254,8.68526387638045e-05
2,"cancer_and_pain",0.56340997743759,0.000383553700353147
3,"neither",0.450864719414948,0.000203754350196949
3,"cancer_only",0.516937758631178,0.00136864070337869
3,"pain_only",0.559775140664643,8.67783939276559e-05
3,"cancer_and_pain",0.563523607153549,0.000383934413840609
4,"neither",0.450900876169871,0.000203664321502635
4,"cancer_only",0.516993130687147,0.00136879255172859
4,"pain_only",0.559752248592558,8.67334767312531e-05
4,"cancer_and_pain",0.56351817829687,0.000384019993116101
5,"neither",0.450828511628802,0.000204006734198574
5,"cancer_only",0.516872171448018,0.00136621276770482
5,"pain_only",0.559820109677124,8.6873716133522e-05
5,"cancer_and_pain",0.563413001061796,0.000383520967699343
6,"neither",0.450883725832158,0.000203740584455946
6,"cancer_only",0.516950069794877,0.00136823130784923
6,"pain_only",0.559766232058287,8.67275555973509e-05
6,"cancer_and_pain",0.563510161832036,0.00038378194737997
7,"neither",0.450815074393647,0.000204002272527848
7,"cancer_only",0.516881789934816,0.00136610213719588
7,"pain_only",0.55984043438556,8.69019550218278e-05
7,"cancer_and_pain",0.563339224602073,0.000383996007086907
8,"neither",0.45085205134097,0.000203988587602245
8,"cancer_only",0.516920170762493,0.00136681334647748
8,"pain_only",0.559796597507617,8.68546877415491e-05
8,"cancer_and_pain",0.563451703554937,0.000383780468029564
9,"neither",0.450821837791795,0.000204049192168046
9,"cancer_only",0.51688016706351,0.0013665799811832
9,"pain_only",0.5598297534409,8.68828596370161e-05
9,"cancer_and_pain",0.563377576875701,0.000383986777763636
10,"neither",0.450954201156918,0.000203677393132707
10,"cancer_only",0.517088182916269,0.00137008270136275
10,"pain_only",0.559706181227954,8.66871684873455e-05
10,"cancer_and_pain",0.563572111438438,0.000384493162322832
11,"neither",0.450850074789975,0.000203881752668687
11,"cancer_only",0.516955030948868,0.00136723476083539
11,"pain_only",0.559801333028704,8.68372804677807e-05
11,"cancer_and_pain",0.563418562701378,0.000384372675357527
12,"neither",0.450863388901183,0.000204048590527131
12,"cancer_only",0.516951213020411,0.0013673123518869
12,"pain_only",0.559784505002784,8.68883759511901e-05
12,"cancer_and_pain",0.563471504658732,0.000383658018062371
13,"neither",0.450861386700879,0.000203711659390183
13,"cancer_only",0.516956832602317,0.0013682333770802
13,"pain_only",0.559777549214542,8.67381768929591e-05
13,"cancer_and_pain",0.563513239611994,0.000383859673057472
14,"neither",0.450859266847013,0.000203813886377934
14,"cancer_only",0.516939115652303,0.00136786974290786
14,"pain_only",0.559794755776182,8.67210883878625e-05
14,"cancer_and_pain",0.563432760629418,0.000384290153235688
15,"neither",0.450863422178313,0.000203875115200947
15,"cancer_only",0.516968319479699,0.00136775097509031
15,"pain_only",0.559774798375816,8.6851922417097e-05
15,"cancer_and_pain",0.563517691015608,0.000384095400543217
16,"neither",0.450857266442611,0.000203802325542775
16,"cancer_only",0.516915799381007,0.00136769629681514
16,"pain_only",0.559802992020114,8.6753909777353e-05
16,"cancer_and_pain",0.563402885839992,0.000384075068511477
17,"neither",0.450868955931988,0.000203685149850859
17,"cancer_only",0.516976473685893,0.00136863987454115
17,"pain_only",0.559775197852111,8.67888199401785e-05
17,"cancer_and_pain",0.56349573765031,0.000384189947075291
18,"neither",0.450835257395011,0.000204003400696903
18,"cancer_only",0.516872370552374,0.00136666703637531
18,"pain_only",0.559814008520351,8.69419138601012e-05
18,"cancer_and_pain",0.563425808361763,0.000383770816986921
19,"neither",0.450887267783146,0.000203946399836183
19,"cancer_only",0.517020408387514,0.00136842285694981
19,"pain_only",0.559754728027086,8.68498741798773e-05
19,"cancer_and_pain",0.563535225210259,0.000384339907671662
20,"neither",0.450878954197147,0.000203873970438524
20,"cancer_only",0.516955430663803,0.0013682871290885
20,"pain_only",0.559776638787508,8.6702774754755e-05
20,"cancer_and_pain",0.563465840221084,0.000384146174104628
