"contrast","log_rr","se","rr","conf_low","conf_high","p_value","df","m","within_variance","between_variance","mcse_log_rr","cohort","analysis","n_intervals","n_persons","events","mcse_se_ratio"
"cancer_and_pain_vs_neither",0.388281938259577,0.070790662763504,1.47444542827031,1.28342821260815,1.69389241999697,4.13629592771803e-08,951292489759.749,20,0.00501129553843095,2.13295859027039e-08,3.26569945820983e-05,"HRS","onset_symptoms",58443,19031,4881,0.000461317825080945
"cancer_and_pain_vs_cancer_only",0.302684865736227,0.0862171874754149,1.35348786682562,1.1430524633302,1.60266432592863,0.000446885851619109,698147711592.374,20,0.00743336463768531,3.69318909824098e-08,4.29720205380256e-05,"HRS","onset_symptoms",58443,19031,4881,0.000498415939980404
"pain_only_vs_neither",0.393727741046654,0.0453480444992128,1.48249687067842,1.35641773611639,1.62029507064978,3.87663256102674e-18,297549569565.844,20,0.00205642870700057,1.56503828672879e-08,2.79735436325896e-05,"HRS","onset_symptoms",58443,19031,4881,0.000616863283555153
"cancer_only_vs_neither",0.0855970725233502,0.0712590737496811,1.08936730384468,0.947367545374394,1.25265123180553,0.229669966035267,7447484422223.41,20,0.00507784748107442,7.72436959242675e-09,1.96524420778014e-05,"HRS","onset_symptoms",58443,19031,4881,0.000275788626538095
"pain_only_vs_cancer_only",0.308130668523304,0.0788554803796476,1.36087880134302,1.16599729379546,1.58833225582915,9.32419556152722e-05,1554889167216.51,20,0.00621816504934344,2.07014871803484e-08,3.21725715325558e-05,"HRS","onset_symptoms",58443,19031,4881,0.000407994109954842
"cancer_and_pain_vs_neither",0.452249120429652,0.0491807363865409,1.57184347812924,1.4274029130746,1.73090015237224,3.72714326626238e-20,273688463597.934,20,0.00241872467857328,1.91932849022515e-08,3.09784480746304e-05,"HRS","onset_composite",61528,19895,7966,0.000629889878653955
"cancer_and_pain_vs_cancer_only",0.112698271300131,0.0671168839778541,1.11929415882176,0.981328116333574,1.27665700505279,0.0931258457620266,208775212387.398,20,0.00450463314137915,4.09271596024432e-08,4.52366884301024e-05,"HRS","onset_composite",61528,19895,7966,0.000673998638629122
"pain_only_vs_neither",0.280357974261274,0.033035573021991,1.32360354354131,1.24061774985281,1.41214031532514,2.12865868195204e-17,143532214914.742,20,0.0010913365284724,1.19584941846776e-08,2.44524990386234e-05,"HRS","onset_composite",61528,19895,7966,0.000740186919789342
"cancer_only_vs_neither",0.339550849129521,0.048926323295778,1.40431669882371,1.27590664187807,1.54565022695726,3.91977117430456e-12,453230977030.892,20,0.00239376961229683,1.47609010982041e-08,2.71669846488381e-05,"HRS","onset_composite",61528,19895,7966,0.000555263155267226
"pain_only_vs_cancer_only",-0.059192874868247,0.0539642151527731,0.942524962246759,0.847926948089284,1.04767669722028,0.272688938616381,256621156761.698,20,0.00291211145929154,2.38645364261439e-08,3.45431153966633e-05,"HRS","onset_composite",61528,19895,7966,0.000640111512765848
"cancer_and_pain_vs_neither",0.220109717728368,0.0492916802011574,1.24621345479603,1.13144977802199,1.37261768492253,7.9899235497817e-06,15372978372468.3,20,0.00242966703592597,2.57250209809818e-09,1.13413008471211e-05,"HRS","persistence_symptoms",10087,5679,5481,0.00023008549923309
"cancer_and_pain_vs_cancer_only",0.0831423866402513,0.0786657580378323,1.08669652860062,0.931424945557732,1.26785239208461,0.290554054848869,85831637847862.2,20,0.00618829857611469,2.77290675290029e-09,1.17747754817243e-05,"HRS","persistence_symptoms",10087,5679,5481,0.00014968107821527
"pain_only_vs_neither",0.215404754004167,0.0359282599350416,1.24036383760786,1.15602414707307,1.33085667244981,2.02969030253282e-09,113558662290.186,20,0.00129082316493733,1.59019262761238e-08,2.81974522573617e-05,"HRS","persistence_symptoms",10087,5679,5481,0.000784826549026944
"cancer_only_vs_neither",0.136967331088116,0.0731519191952858,1.14679068350464,0.993612690209375,1.32358300646897,0.061155674131744,139390907234799,20,0.00535120130629898,1.8815758416551e-09,9.69942225510133e-06,"HRS","persistence_symptoms",10087,5679,5481,0.000132592861018558
"pain_only_vs_cancer_only",0.0784374229160506,0.0709352378151675,1.08159566994149,0.941206149531222,1.24292557355138,0.268829958669917,724980975204.962,20,0.00503178220438698,2.45328641825459e-08,3.50234665492623e-05,"HRS","persistence_symptoms",10087,5679,5481,0.0004937386217062
"cancer_and_pain_vs_neither",0.251819036507701,0.0400277850344596,1.28636323143807,1.18930133285879,1.39134659776949,3.15212096745984e-10,546878729301.836,20,0.00160221413079919,8.99425306820225e-09,2.12064295299825e-05,"HRS","persistence_composite",11116,6243,6510,0.000529792730517716
"cancer_and_pain_vs_cancer_only",0.03324769881083,0.0534657056150168,1.03380658019002,0.930956097963493,1.1480198127303,0.534039893015575,3429752768053.81,20,0.00285857494875647,6.40776682135471e-09,1.78993949916676e-05,"HRS","persistence_composite",11116,6243,6510,0.000334782731954448
"pain_only_vs_neither",0.200846198503832,0.0321515504633745,1.22243674476396,1.14778077549247,1.30194861846152,4.18789112766428e-10,59382277560.1119,20,0.00103370370654725,1.76101444406382e-08,2.96733419424221e-05,"HRS","persistence_composite",11116,6243,6510,0.000922921026039616
"cancer_only_vs_neither",0.218571337696871,0.0508620689808709,1.24429777879885,1.12623871995856,1.3747324922204,1.72864022893201e-05,18395514277952.3,20,0.00258694743190413,2.50391498700368e-09,1.11890906400022e-05,"HRS","persistence_composite",11116,6243,6510,0.00021998890065228
"pain_only_vs_cancer_only",-0.0177251391930394,0.0483481440112512,0.982431027035998,0.893610071869197,1.08008039889716,0.713906458871788,403267336661.512,20,0.00233752698432642,1.52809583494387e-08,2.76414167052257e-05,"HRS","persistence_composite",11116,6243,6510,0.000571716190362824
