cohort,estimand,modifier_name,contrast,k,log_ratio_of_rr,se,ratio_of_rr,conf_low,conf_high,p_value,tau2,i2,q_p_value
Random-effects meta-analysis,onset,sex,cancer_and_pain_vs_neither,2,-0.0471296781698089,0.0266623551511631,0.953963681304638,0.679833732683557,1.33863128805922,0.327753896781702,0,0,0.78264661964596
Random-effects meta-analysis,onset,sex,cancer_and_pain_vs_cancer_only,2,-0.136951636716894,0.12394212470216,0.872012398494805,0.180543118041748,4.21176742362913,0.468281118845712,0,0,0.351439652577012
Random-effects meta-analysis,onset,sex,pain_only_vs_neither,2,-0.0144774039257867,0.117920617410629,0.98562688977911,0.22029209441474,4.40987393776688,0.922229813397716,0.0200499554898338,72.071845149991,0.0584574680283834
Random-effects meta-analysis,onset,sex,cancer_only_vs_neither,2,0.0901630815293519,0.0972730765625013,1.09435273787167,0.317966723553356,3.76645675844206,0.524137254716718,0,0,0.392047446750894
Random-effects meta-analysis,onset,age_group,cancer_and_pain_vs_neither,2,-0.195175434323741,0.209939561663365,0.822690317275766,0.0571137442123072,11.8503762531026,0.523190890303498,0.066033310613979,74.9012464446543,0.0459272266257147
Random-effects meta-analysis,onset,age_group,cancer_and_pain_vs_cancer_only,2,-0.23851384801294,0.195413433477188,0.78779777874777,0.0657775330494721,9.43521764084919,0.436973604001428,0.0329976741554332,43.2002466963478,0.184553306782245
Random-effects meta-analysis,onset,age_group,pain_only_vs_neither,2,-0.136000806625355,0.105378315092513,0.872841928432005,0.228788049294761,3.32995116824203,0.419664575109045,0.0156160227564672,70.0766940441663,0.0675375358907219
Random-effects meta-analysis,onset,age_group,cancer_only_vs_neither,2,0.0444956524340366,0.40537815538294,1.04550043131849,0.00605832339038192,180.424695324531,0.930401116248021,0.297407258745809,90.4894562963954,0.00118432118895663
Random-effects meta-analysis,persistence,sex,cancer_and_pain_vs_neither,2,-0.0774940215434663,0.0173108489906586,0.925432557038416,0.742710302309068,1.15310830476439,0.139913015498077,0,0,0.801509163796177
Random-effects meta-analysis,persistence,sex,cancer_and_pain_vs_cancer_only,2,-0.0104046326210592,0.0121866865766192,0.989649308328249,0.847680767641773,1.15539456698925,0.550114224475187,0,0,0.896217785004959
Random-effects meta-analysis,persistence,sex,pain_only_vs_neither,2,-0.014480546224909,0.0206736238148328,0.985623792649466,0.757930305320231,1.28171977531136,0.611013613311299,0,0,0.687021463244346
Random-effects meta-analysis,persistence,sex,cancer_only_vs_neither,2,-0.0698863285482829,0.00540708552788935,0.93249981248908,0.870585013248228,0.99881790641879,0.0491571621852206,0,0,0.953746053700493
Random-effects meta-analysis,persistence,age_group,cancer_and_pain_vs_neither,2,-0.106019508863571,0.0573223195585153,0.89940710149433,0.434148500165852,1.86326368491289,0.31554526359811,0,0,0.357540894248224
Random-effects meta-analysis,persistence,age_group,cancer_and_pain_vs_cancer_only,2,-0.0483940304966493,0.00695014993793133,0.952758297280083,0.872228316448653,1.04072334722176,0.090807769509968,0,0,0.950931130837903
Random-effects meta-analysis,persistence,age_group,pain_only_vs_neither,2,-0.115448081947832,0.00114531163896467,0.890966828298577,0.878094863566391,0.904027482753185,0.00631542858277981,0,0,0.9799457991291
Random-effects meta-analysis,persistence,age_group,cancer_only_vs_neither,2,-0.0526675745370311,0.0506724353541062,0.948695330553992,0.498315477970513,1.80613059397727,0.487710594603441,0,0,0.648963001704006
