cohort,estimand,modifier_name,contrast,log_ratio_of_rr,se,ratio_of_rr,conf_low,conf_high,p_value
HRS,onset,sex,cancer_and_pain_vs_neither,-0.020708082967372,0.136064731846404,0.979504856990293,0.750219043605025,1.27886618321128,0.879034812028765
HRS,onset,sex,cancer_and_pain_vs_cancer_only,-0.0188674187422763,0.183718075119341,0.981309456860568,0.68458105299933,1.40665337713477,0.918202920819168
HRS,onset,sex,pain_only_vs_neither,-0.130312419118304,0.0852822799022208,0.877821139969346,0.742700347628812,1.03752469786402,0.126509348851705
HRS,onset,sex,cancer_only_vs_neither,-0.00184066422509567,0.156430869953602,0.998161028758402,0.7345923676868,1.35629702016837,0.990611803934385
HRS,onset,age_group,cancer_and_pain_vs_neither,0.0171500008877153,0.152063800344332,1.01729790647012,0.755111717002745,1.37051909963241,0.910203694951002
HRS,onset,age_group,cancer_and_pain_vs_cancer_only,-0.431676675442248,0.206156769785508,0.649419315957185,0.433555042115239,0.972761026790682,0.0362667218043564
HRS,onset,age_group,pain_only_vs_neither,-0.0365688256889132,0.0733163376623154,0.964091737334835,0.835047886239843,1.1130773376155,0.617933390902011
HRS,onset,age_group,cancer_only_vs_neither,0.448826676329964,0.1743782297209,1.56647312679746,1.11299171273941,2.20472266674741,0.0100568415417608
SHARE,onset,sex,cancer_and_pain_vs_neither,-0.0740349871324254,0.137304586503619,0.928639202850142,0.70953387999465,1.21540463871387,0.589747081117881
SHARE,onset,sex,cancer_and_pain_vs_cancer_only,-0.267042266431593,0.192831937807106,0.765640709880786,0.524669929615703,1.11728472233223,0.166099992141613
SHARE,onset,sex,pain_only_vs_neither,0.105566366840707,0.0909165739593649,1.11133985819077,0.929947781145278,1.32811358384276,0.245587223544003
SHARE,onset,sex,cancer_only_vs_neither,0.193007279299168,0.165390135640209,1.21289162248796,0.87708494740121,1.67726751241183,0.24321771680914
SHARE,onset,age_group,cancer_and_pain_vs_neither,-0.402755932192551,0.145364961503418,0.668475232699327,0.502748104121296,0.888833061863933,0.00559439329044183
SHARE,onset,age_group,cancer_and_pain_vs_cancer_only,-0.040823585908455,0.210404789771645,0.959998472268544,0.635585030705571,1.44999806829129,0.846157063730888
SHARE,onset,age_group,pain_only_vs_neither,-0.247681064698813,0.0892246971338323,0.780608867304797,0.655368073035354,0.929783168857551,0.00550449097094426
SHARE,onset,age_group,cancer_only_vs_neither,-0.361932346284096,0.179186797108193,0.696329475524761,0.490106769281187,0.989324712237148,0.0433978521676757
HRS,persistence,sex,cancer_and_pain_vs_neither,-0.0982609275677971,0.107543009191893,0.906412364921712,0.734150410536958,1.11909407594292,0.360879977542914
HRS,persistence,sex,cancer_and_pain_vs_cancer_only,-0.0227758028607561,0.133129613484684,0.977481607789,0.752988705548379,1.26890388464715,0.864160929124087
HRS,persistence,sex,pain_only_vs_neither,-0.03669335276261,0.075315900828623,0.96397168928678,0.831678105168241,1.11730898285272,0.626121818684126
HRS,persistence,sex,cancer_only_vs_neither,-0.0754851247070411,0.134191040778121,0.927293524194237,0.712842534861504,1.20625978103233,0.573761880245024
HRS,persistence,age_group,cancer_and_pain_vs_neither,-0.157587744580907,0.0838038771641998,0.854201858735981,0.724813915326557,1.00668709587241,0.0600488159151323
HRS,persistence,age_group,cancer_and_pain_vs_cancer_only,-0.0548774727457917,0.154453971030126,0.946601125284858,0.699351576002941,1.28126356061403,0.722364967790933
HRS,persistence,age_group,pain_only_vs_neither,-0.116737301100398,0.0686035602709401,0.8898189169129,0.777868487385578,1.01788119423274,0.0888263226986337
HRS,persistence,age_group,cancer_only_vs_neither,-0.102710271835115,0.156452619442315,0.902388382941049,0.664080586785566,1.22621382083844,0.511506055936844
SHARE,persistence,sex,cancer_and_pain_vs_neither,-0.063064067826418,0.0896455538413242,0.938883319548638,0.787599060777799,1.11922668731491,0.481755181899065
SHARE,persistence,sex,cancer_and_pain_vs_cancer_only,0.00160032138403493,0.131144333330591,1.00160160258165,0.774577276033364,1.29516550683178,0.990263856594354
SHARE,persistence,sex,pain_only_vs_neither,0.00476054881239821,0.0700970675796182,1.00477189822756,0.875791544672906,1.15274756145868,0.94585436023486
SHARE,persistence,sex,cancer_only_vs_neither,-0.064664389210453,0.129596151384931,0.937382006107661,0.727116782291494,1.20845103121574,0.61780161919229
SHARE,persistence,age_group,cancer_and_pain_vs_neither,-0.0423010536195432,0.0931548764510845,0.95858115280277,0.798611043041339,1.15059494169945,0.649761301768934
SHARE,persistence,age_group,cancer_and_pain_vs_cancer_only,-0.0409435771258158,0.165572271012405,0.959883287793892,0.693877903750257,1.32786463037111,0.804687488623652
SHARE,persistence,age_group,pain_only_vs_neither,-0.114430614321992,0.0609457716295579,0.891873819540935,0.791455097844373,1.00503352893805,0.0604385260924281
SHARE,persistence,age_group,cancer_only_vs_neither,-0.00135747649372734,0.15842142156024,0.998643444460716,0.732085654786079,1.36225689254324,0.993163195537943
