cohort,estimand,modifier_name,modifier_level,contrast,log_rr,se,rr,conf_low,conf_high
HRS,onset,sex,male,cancer_and_pain_vs_neither,0.397185185643513,0.138583498457082,1.48763139252141,1.13379058599338,1.95190116001555
HRS,onset,sex,female,cancer_and_pain_vs_neither,0.376477102676141,0.0676313621564426,1.45714217438595,1.2762448670954,1.66368020049831
HRS,onset,sex,male,cancer_and_pain_vs_cancer_only,0.309083186617421,0.161135271031104,1.36217568057762,0.993286495699711,1.86806383937596
HRS,onset,sex,female,cancer_and_pain_vs_cancer_only,0.290215767875144,0.09879009492203,1.33671587725629,1.10140951828753,1.62229334942301
HRS,onset,sex,male,pain_only_vs_neither,0.478171339312207,0.0715051521615179,1.61312185089508,1.4021738976952,1.85580555315743
HRS,onset,sex,female,pain_only_vs_neither,0.347858920193904,0.0539495324933233,1.41603246206218,1.27394677641657,1.57396523209083
HRS,onset,sex,male,cancer_only_vs_neither,0.088101999026092,0.119541354246287,1.09209950943376,0.863989424893335,1.3804351119838
HRS,onset,sex,female,cancer_only_vs_neither,0.0862613348009963,0.0934514837277166,1.09009116984294,0.90764657783787,1.30920865850697
HRS,onset,age_group,age_50_64,cancer_and_pain_vs_neither,0.378018024170906,0.131955040984954,1.45938924691995,1.12681029814473,1.89012913489721
HRS,onset,age_group,age_65_plus,cancer_and_pain_vs_neither,0.395168025058621,0.0820611849229098,1.48463362561666,1.2640629011835,1.74369250157411
HRS,onset,age_group,age_50_64,cancer_and_pain_vs_cancer_only,0.611807656030144,0.192167401837287,1.84376127442587,1.26511935489769,2.68706318017514
HRS,onset,age_group,age_65_plus,cancer_and_pain_vs_cancer_only,0.180130980587895,0.0903749833808268,1.197374185626,1.00300377036259,1.4294113170534
HRS,onset,age_group,age_50_64,pain_only_vs_neither,0.412087841040554,0.0564721347736753,1.50996706758185,1.35175600377592,1.68669533467052
HRS,onset,age_group,age_65_plus,pain_only_vs_neither,0.375519015351641,0.0599887700643187,1.45574677350337,1.2942652848577,1.63737580954932
HRS,onset,age_group,age_50_64,cancer_only_vs_neither,-0.233789631859238,0.151717866817074,0.791528310721454,0.587927765374822,1.06563612670025
HRS,onset,age_group,age_65_plus,cancer_only_vs_neither,0.215037044470726,0.083522277693708,1.23990782784455,1.05267694192138,1.46043991306974
SHARE,onset,sex,male,cancer_and_pain_vs_neither,0.349408957208482,0.113456045581838,1.41822906676171,1.13546152023332,1.77141510299222
SHARE,onset,sex,female,cancer_and_pain_vs_neither,0.275373970076057,0.0793557309949603,1.3170231100165,1.12731601035604,1.53865451779551
