cohort,contrast,n_intervals,n_persons,events,log_rr,se,rr,conf_low,conf_high,p_value
HRS,cancer_and_pain_vs_neither,58132,18934,4853,0.387786548689398,0.0724767746105143,1.47371518427591,1.27856030185929,1.69865781160816,8.77144544022055e-08
HRS,cancer_and_pain_vs_cancer_only,58132,18934,4853,0.299399601119942,0.0868457300359817,1.34904859710877,1.13790072786651,1.59937688129736,0.000565825808199591
HRS,pain_only_vs_neither,58132,18934,4853,0.395981802035939,0.0452240472942342,1.48584227800098,1.35980906716831,1.62355681279031,2.02299975261188e-18
HRS,cancer_only_vs_neither,58132,18934,4853,0.0883869475694555,0.0714420877936922,1.09241074593926,0.949673562853669,1.25660151500654,0.216019093818296
SHARE,cancer_and_pain_vs_neither,62160,50982,10269,0.29088846372769,0.0657418592423841,1.33761538299593,1.17590349888235,1.52156611025303,9.65732720697632e-06
SHARE,cancer_and_pain_vs_cancer_only,62160,50982,10269,0.139296746840465,0.0921429883127269,1.14946514954977,0.959541040471602,1.37698136327768,0.130598621801036
SHARE,pain_only_vs_neither,62160,50982,10269,0.240251374230364,0.0436499431323698,1.27156874976602,1.16730661637696,1.38514342564076,3.71168805279655e-08
SHARE,cancer_only_vs_neither,62160,50982,10269,0.151591716887225,0.0790626408474794,1.16368502648371,0.996637454365272,1.35873163800052,0.0551919363129345
CHARLS,cancer_and_pain_vs_neither,15227,9791,3519,0.469059648972591,0.196593281614955,1.59849034421771,1.08735038489139,2.34990617197646,0.0170355596987963
CHARLS,cancer_and_pain_vs_cancer_only,15227,9791,3519,0.728948967342713,0.294336298868446,2.0729007759268,1.16423057970053,3.69077887298167,0.0132645903820734
CHARLS,pain_only_vs_neither,15227,9791,3519,0.314497695363922,0.0397637260273311,1.36957119618856,1.26688638448775,1.48057890936115,2.59130137004357e-15
CHARLS,cancer_only_vs_neither,15227,9791,3519,-0.259889318370121,0.250372068368751,0.771136931772832,0.472078707033921,1.25964623840001,0.299264269548978
