cohort,estimand,outcome,contrast,n_intervals,n_persons,events,log_rr,se,rr,conf_low,conf_high,p_value,df,m,analysis_method,design_status,within_variance,between_variance,relative_increase_variance,imputation,variance,conf_low_log,conf_high_log
SHARE,onset,high_depressive_symptoms_or_death,cancer_and_pain_vs_neither,65883,54229,12992,0.324711006276892,0.0612744467382213,1.38363072760121,1.2270529238214,1.56018860572057,1.16254448582766e-07,Inf,0,complete_case_low_covariate_missingness,country_strata_household_cluster_pending_official_gv_weights_sensitivity,0.00375455782307511,,,0,0.00375455782307511,0.204615297497361,0.444806715056423
SHARE,onset,high_depressive_symptoms_or_death,cancer_and_pain_vs_cancer_only,65883,54229,12992,0.108853096070733,0.0775528105864655,1.11499854064285,0.957769994027965,1.29803789363586,0.160438106040322,Inf,0,complete_case_low_covariate_missingness,country_strata_household_cluster_pending_official_gv_weights_sensitivity,0.0060144384298602,,,0,0.0060144384298602,-0.0431476195785961,0.260853811720062
SHARE,onset,high_depressive_symptoms_or_death,pain_only_vs_neither,65883,54229,12992,0.200032023977125,0.0415234690174426,1.22144187296046,1.12597296559632,1.3250053905433,1.45495976080682e-06,Inf,0,complete_case_low_covariate_missingness,country_strata_household_cluster_pending_official_gv_weights_sensitivity,0.00172419847924252,,,0,0.00172419847924252,0.118647520189773,0.281416527764477
SHARE,onset,high_depressive_symptoms_or_death,cancer_only_vs_neither,65883,54229,12992,0.215857910206159,0.0646060458111203,1.24092604354753,1.09333470383286,1.40844102007938,0.000834348314934139,Inf,0,complete_case_low_covariate_missingness,country_strata_household_cluster_pending_official_gv_weights_sensitivity,0.00417394115534857,,,0,0.00417394115534857,0.0892323872328185,0.342483433179499
SHARE,onset,high_depressive_symptoms_or_death,pain_only_vs_cancer_only,65883,54229,12992,-0.0158258862290342,0.0639433295632219,0.984298685092164,0.868356869165844,1.11572089296057,0.804522354477982,Inf,0,complete_case_low_covariate_missingness,country_strata_household_cluster_pending_official_gv_weights_sensitivity,0.00408874939563081,,,0,0.00408874939563081,-0.141152509224524,0.109500736766456
CHARLS,onset,high_depressive_symptoms_or_death,cancer_and_pain_vs_neither,21829,11790,5439,0.508289130589727,0.133709348879844,1.66244453500733,1.27918488093057,2.1605335344217,0.000143867988781468,567351.470397871,20,multiple_imputation_m20,community_cluster,0.0177747295533752,9.85337376157687e-05,0.00582064690131455,,,0.246223063307793,0.770355197871661
CHARLS,onset,high_depressive_symptoms_or_death,cancer_and_pain_vs_cancer_only,21829,11790,5439,0.590880328607202,0.186497708510915,1.80557721723824,1.25276083633161,2.60233956303758,0.00153352490438627,252544.403479806,20,multiple_imputation_m20,community_cluster,0.0344797094400738,0.000287319847379472,0.00874966305249122,,,0.225349784855496,0.956410872358908
CHARLS,onset,high_depressive_symptoms_or_death,pain_only_vs_neither,21829,11790,5439,0.278792602679947,0.0309204216665762,1.32153323299471,1.24382293363006,1.40409863710462,1.94461637643116e-19,1748521.36239765,20,multiple_imputation_m20,community_cluster,0.000952920868397359,3.0015310871595e-06,0.00330731306873142,,,0.218189647875976,0.339395557483917
CHARLS,onset,high_depressive_symptoms_or_death,cancer_only_vs_neither,21829,11790,5439,-0.0825911980174755,0.161373343130051,0.920727465508317,0.671072911896816,1.26325925352165,0.608789700702685,1100849.19626704,20,multiple_imputation_m20,community_cluster,0.0259331685241938,0.000103035570262364,0.00417177517951772,,,-0.398877486368513,0.233695090333562
CHARLS,onset,high_depressive_symptoms_or_death,pain_only_vs_cancer_only,21829,11790,5439,0.361383800697422,0.16111073523787,1.43531422978146,1.04666835598252,1.96827096800808,0.024892092393291,874873.98574925,20,multiple_imputation_m20,community_cluster,0.0258357058810691,0.000115202978874329,0.00468201365872805,,,0.0456121252467911,0.677155476148053
SHARE,persistence,high_depressive_symptoms_or_death,cancer_and_pain_vs_neither,24053,21860,14493,0.212052912611502,0.0350800788313236,1.23621329462179,1.15407276596539,1.32420013266778,1.4957291948459e-09,Inf,0,complete_case_low_covariate_missingness,country_strata_household_cluster_pending_official_gv_weights_sensitivity,0.00123061193081188,,,0,0.00123061193081188,0.143297221527282,0.280808603695722
SHARE,persistence,high_depressive_symptoms_or_death,cancer_and_pain_vs_cancer_only,24053,21860,14493,0.0671706733629096,0.0493232422118177,1.06947799400466,0.970929804789384,1.17802870405069,0.17324640618319,Inf,0,complete_case_low_covariate_missingness,country_strata_household_cluster_pending_official_gv_weights_sensitivity,0.00243278222228564,,,0,0.00243278222228564,-0.0295011049729988,0.163842451698818
SHARE,persistence,high_depressive_symptoms_or_death,pain_only_vs_neither,24053,21860,14493,0.150617567229127,0.0291025864735284,1.16255197508345,1.09809575284568,1.23079166026094,2.27421490392612e-07,Inf,0,complete_case_low_covariate_missingness,country_strata_household_cluster_pending_official_gv_weights_sensitivity,0.000846960539449198,,,0,0.000846960539449198,0.0935775458840487,0.207657588574205
SHARE,persistence,high_depressive_symptoms_or_death,cancer_only_vs_neither,24053,21860,14493,0.144882239248592,0.0492198513584296,1.155903442195,1.04960416067929,1.27296824625155,0.00324447004533603,Inf,0,complete_case_low_covariate_missingness,country_strata_household_cluster_pending_official_gv_weights_sensitivity,0.0024225937677459,,,0,0.0024225937677459,0.0484131032616553,0.241351375235529
SHARE,persistence,high_depressive_symptoms_or_death,pain_only_vs_cancer_only,24053,21860,14493,0.0057353279805348,0.0451562402133113,1.00575180646216,0.920563518342985,1.09882335770015,0.898931889420843,Inf,0,complete_case_low_covariate_missingness,country_strata_household_cluster_pending_official_gv_weights_sensitivity,0.00203908603020228,,,0,0.00203908603020228,-0.0827692765147947,0.0942399324758643
CHARLS,persistence,high_depressive_symptoms_or_death,cancer_and_pain_vs_neither,11806,7479,7282,0.128475367860265,0.0669518899880263,1.13709341190244,0.99725583223436,1.29653934888001,0.0549943962837856,10816892.5826098,20,multiple_imputation_m20,community_cluster,0.00447661468689049,5.6579867412232e-06,0.00132709346097664,,,-0.00274793989648992,0.259698675617019
CHARLS,persistence,high_depressive_symptoms_or_death,cancer_and_pain_vs_cancer_only,11806,7479,7282,0.346941050118352,0.170388346941045,1.41473332455017,1.01307071065296,1.97564726582883,0.0417324575432536,588398601.304195,20,multiple_imputation_m20,community_cluster,0.0290269717741789,4.96857059324687e-06,0.000179729362177215,,,0.0129860260416266,0.680896074195077
CHARLS,persistence,high_depressive_symptoms_or_death,pain_only_vs_neither,11806,7479,7282,0.115656637871032,0.0182494315666954,1.12261034407143,1.08316616914509,1.16349090334945,2.33494507889178e-10,2290701.73715475,20,multiple_imputation_m20,community_cluster,0.000332082592171646,9.13486034144418e-07,0.00288831862453022,,,0.0798883903626963,0.151424885379368
CHARLS,persistence,high_depressive_symptoms_or_death,cancer_only_vs_neither,11806,7479,7282,-0.218465682258087,0.160623847911061,0.803751061892874,0.586675958734326,1.1011458026806,0.173795944862392,215305069.594174,20,multiple_imputation_m20,community_cluster,0.0257923562666733,7.29928674510177e-06,0.000297152032296481,,,-0.533282640991789,0.0963512764756151
CHARLS,persistence,high_depressive_symptoms_or_death,pain_only_vs_cancer_only,11806,7479,7282,0.334122320129119,0.159651941783129,1.39671397936026,1.0214367995774,1.9098684724767,0.0363654818844525,369924812.94665,20,multiple_imputation_m20,community_cluster,0.0254829659658904,5.50147546012118e-06,0.000226682766867063,,,0.0212102631484781,0.64703437710976
