cohort,estimand,imputation,contrast,log_rr,variance,se,conf_low_log,conf_high_log,rr,conf_low,conf_high,p_value,sensitivity,n_intervals,n_persons,events
SHARE,onset,0,cancer_and_pain_vs_neither,0.340733650171792,0.00286093740771175,0.0534877313756318,0.235899623060801,0.445567677282783,1.40597870879856,1.26604722184361,1.56137630215427,1.88641448157907e-10,combined_weight_trimmed_within_transition_p01_p99,65883,54229,12992
SHARE,onset,0,cancer_and_pain_vs_cancer_only,0.111511736271081,0.00497665696972862,0.070545424867447,-0.0267547557431915,0.249778228285354,1.11796686469072,0.973599982052296,1.28374068774301,0.113944757319991,combined_weight_trimmed_within_transition_p01_p99,65883,54229,12992
SHARE,onset,0,pain_only_vs_neither,0.214939949863789,0.00091602898863054,0.0302659708027108,0.155619737133335,0.274260162594243,1.2397874453257,1.16838182638258,1.3155570164474,1.23228414821536e-12,combined_weight_trimmed_within_transition_p01_p99,65883,54229,12992
SHARE,onset,0,cancer_only_vs_neither,0.229221913900711,0.00334645555858254,0.0578485571002643,0.115840825426584,0.342603002374838,1.25762109164793,1.12281713397002,1.40860943630733,7.41850902598219e-05,combined_weight_trimmed_within_transition_p01_p99,65883,54229,12992
SHARE,onset,0,pain_only_vs_cancer_only,-0.0142819640369222,0.00336352568811028,0.0579959109602589,-0.127951860769621,0.099387932695777,0.985819539414009,0.879895735628658,1.10449468606198,0.805482426701353,combined_weight_trimmed_within_transition_p01_p99,65883,54229,12992
SHARE,persistence,0,cancer_and_pain_vs_neither,0.20731396132437,0.000913320867527561,0.0302211989756787,0.148081499762421,0.266546422886319,1.23036879936503,1.15960740023952,1.30544819060163,6.89158155910933e-12,combined_weight_trimmed_within_transition_p01_p99,24053,21860,14493
SHARE,persistence,0,cancer_and_pain_vs_cancer_only,0.0717708345275499,0.00220759744656153,0.0469850768495862,-0.0203182239084858,0.163859892963586,1.07440909838075,0.979886800279202,1.1780492505404,0.126630753403326,combined_weight_trimmed_within_transition_p01_p99,24053,21860,14493
SHARE,persistence,0,pain_only_vs_neither,0.136514789359104,0.000535066070432369,0.0231314952052903,0.0911778918481736,0.181851686870034,1.14627183027614,1.09546386201726,1.1994362885372,3.59808495322825e-09,combined_weight_trimmed_within_transition_p01_p99,24053,21860,14493
SHARE,persistence,0,cancer_only_vs_neither,0.13554312679682,0.00210151837480808,0.0458423207833992,0.0456938290936253,0.225392424500014,1.14515858179098,1.04675387630719,1.2528142547472,0.00310925488797691,combined_weight_trimmed_within_transition_p01_p99,24053,21860,14493
SHARE,persistence,0,pain_only_vs_cancer_only,0.000971662562283815,0.00186472654741291,0.0431824796348347,-0.0836644422851264,0.085607767409694,1.00097213477928,0.919739830115704,1.08937895456648,0.982048063315379,combined_weight_trimmed_within_transition_p01_p99,24053,21860,14493
