cohort,contrast,n_intervals,n_persons,estimate_sd,se,conf_low,conf_high,p_value
HRS,cancer_and_pain_vs_neither,58132,18934,0.191494944094358,0.0225225451176549,0.147351566823576,0.23563832136514,1.85763453679269e-17
HRS,cancer_and_pain_vs_cancer_only,58132,18934,0.170632682973514,0.0278193049789887,0.116107847139761,0.225157518807268,8.59086053778591e-10
HRS,pain_only_vs_neither,58132,18934,0.198803035662752,0.0145894099399976,0.170208317624666,0.227397753700838,2.78510588749021e-42
HRS,cancer_only_vs_neither,58132,18934,0.0208622611208438,0.0176866641530716,-0.0138029636258323,0.0555274858675198,0.238180219779712
SHARE,cancer_and_pain_vs_neither,62160,50982,0.106172370537799,0.0382172929656705,0.0312678527384686,0.181076888337129,0.00546737857018099
SHARE,cancer_and_pain_vs_cancer_only,62160,50982,0.050245891128335,0.0447655205387809,-0.0374929168768636,0.137984699133534,0.261682237981222
SHARE,pain_only_vs_neither,62160,50982,0.135463991688767,0.0218530219390575,0.0926328557348503,0.178295127642683,5.68708127758174e-10
SHARE,cancer_only_vs_neither,62160,50982,0.0559264794094638,0.0288163910142528,-0.000552609142895302,0.112405567961823,0.0522841086292042
CHARLS,cancer_and_pain_vs_neither,15227,9791,0.24463379927275,0.188307298502998,-0.12444172381916,0.613709322364659,0.193902711005539
CHARLS,cancer_and_pain_vs_cancer_only,15227,9791,0.330283303551178,0.205446813594532,-0.0723850518326197,0.732951658934975,0.107915338982526
CHARLS,pain_only_vs_neither,15227,9791,0.229310142706981,0.0239224004173991,0.182423099465133,0.276197185948829,9.19373835457759e-22
CHARLS,cancer_only_vs_neither,15227,9791,-0.0856495042784279,0.0959362223501927,-0.273681044897632,0.102382036340776,0.371977434773776
