cohort,estimand,scenario,adjustment,contrast,n_intervals,n_persons,events,log_rr,se,rr,conf_low,conf_high,p_value,tau2,i2,q_p_value
Random-effects meta-analysis,onset,function_adjustment_sequence,core,cancer_and_pain_vs_neither,135519,,18641,0.342397824845372,0.0398432339836829,1.40832045095087,1.18645067642832,1.67168052745114,0.0132719186462283,0,0,0.49135426739553
Random-effects meta-analysis,onset,function_adjustment_sequence,core,cancer_and_pain_vs_cancer_only,135519,,18641,0.268126522472179,0.11709247810246,1.30751255927149,0.790032063158174,2.16394899951093,0.149182443054342,0.0120849247927711,46.0597353490995,0.11017890575595
Random-effects meta-analysis,onset,function_adjustment_sequence,core,pain_only_vs_neither,135519,,18641,0.316255915447769,0.0444383427084739,1.37198132191681,1.13320869157918,1.66106451677976,0.019178000873173,0.00395092216386173,68.3010131993153,0.0464397143878908
Random-effects meta-analysis,onset,function_adjustment_sequence,core,cancer_only_vs_neither,135519,,18641,0.100636366872297,0.0581920999837705,1.10587443606017,0.86092831920781,1.42051114018029,0.225881414726224,5.70777830922009e-07,0.00568222429924406,0.283901768270173
Random-effects meta-analysis,onset,function_adjustment_sequence,mobility,cancer_and_pain_vs_neither,134431,,18205,0.274466129276982,0.0552975908894238,1.31582800526841,1.03721558322317,1.66928010671442,0.0382761130336629,0.00193643384390978,17.4274493398147,0.327540250009232
Random-effects meta-analysis,onset,function_adjustment_sequence,mobility,cancer_and_pain_vs_cancer_only,134431,,18205,0.219207763670214,0.141721977804192,1.24508993427127,0.676669241131047,2.29099957585245,0.261982281262028,0.0228487868854102,60.9974474768625,0.0776035041791235
Random-effects meta-analysis,onset,function_adjustment_sequence,mobility,pain_only_vs_neither,134431,,18205,0.257505210114766,0.0520634902496308,1.29369855128068,1.0340613341346,1.61852676078098,0.0385312807501254,0.00563300391403281,71.5403825273565,0.0350511502693944
Random-effects meta-analysis,onset,function_adjustment_sequence,mobility,cancer_only_vs_neither,134431,,18205,0.0942206682435306,0.0555109210008321,1.09880218991558,0.86534799418984,1.39523782416997,0.231726886901106,3.70933893851411e-07,0.00361836280807427,0.324947081158392
Random-effects meta-analysis,onset,function_adjustment_sequence,mobility_adl,cancer_and_pain_vs_neither,134361,,18188,0.275542330394782,0.0567325164892866,1.31724486311376,1.03194153513808,1.6814266800177,0.0398740090243582,0.00210518871085137,18.6578540934183,0.313137070237597
Random-effects meta-analysis,onset,function_adjustment_sequence,mobility_adl,cancer_and_pain_vs_cancer_only,134361,,18188,0.215920335832279,0.138064053425091,1.24100351155074,0.685147359486637,2.24782259517897,0.258285763630377,0.0210746883749808,59.0342020408813,0.0815788100401571
Random-effects meta-analysis,onset,function_adjustment_sequence,mobility_adl,pain_only_vs_neither,134361,,18188,0.259297909299407,0.0521410924689735,1.29601984368656,1.03557092755405,1.62197237343907,0.0381372860785484,0.00564532764487,71.4943963371014,0.0352480854761214
Random-effects meta-analysis,onset,function_adjustment_sequence,mobility_adl,cancer_only_vs_neither,134361,,18188,0.0948625924058155,0.0529459352780952,1.09950776402917,0.875512910838585,1.38081038919516,0.215058239551436,2.04118068483045e-07,0.00198702377515039,0.360280771918633
Random-effects meta-analysis,persistence,function_adjustment_sequence,core,cancer_and_pain_vs_neither,40104,,22640,0.19279988979507,0.037167944520291,1.21264010757753,1.03342562344454,1.42293358819989,0.0352128389733266,7.85463608864115e-06,0.230486078827542,0.235779301236575
Random-effects meta-analysis,persistence,function_adjustment_sequence,core,cancer_and_pain_vs_cancer_only,40104,,22640,0.109439357623105,0.0281657184099767,1.11565241306958,0.988320790118286,1.25938897494913,0.0603064749910553,0,0,0.714381876140162
Random-effects meta-analysis,persistence,function_adjustment_sequence,core,pain_only_vs_neither,40104,,22640,0.169717579683761,0.0195303221666123,1.18497014441566,1.08946351358081,1.28884925989062,0.0129849870111885,0.000253453896709099,20.9467994618346,0.290962066850026
Random-effects meta-analysis,persistence,function_adjustment_sequence,core,cancer_only_vs_neither,40104,,22640,0.0891088242070714,0.0588606001888263,1.09319961643477,0.848616504025069,1.40827499312673,0.269244329962789,3.715029999685e-07,0.00463421529268844,0.199199573264962
Random-effects meta-analysis,persistence,function_adjustment_sequence,mobility,cancer_and_pain_vs_neither,38062,,21199,0.145308980377144,0.038377418909935,1.15639681899902,0.980379315221116,1.3640165415867,0.0632116872098397,3.06331617651339e-06,0.0821725865912506,0.245303941519577
Random-effects meta-analysis,persistence,function_adjustment_sequence,mobility,cancer_and_pain_vs_cancer_only,38062,,21199,0.0714349668681221,0.0305389397943336,1.07404829970531,0.941798921989082,1.22486841210595,0.144243337253792,0,0,0.699127771754635
Random-effects meta-analysis,persistence,function_adjustment_sequence,mobility,pain_only_vs_neither,38062,,21199,0.141233933281212,0.0132214583128241,1.1516940360389,1.08800591998352,1.2191102348668,0.00865001815415108,0,0,0.590539080349612
Random-effects meta-analysis,persistence,function_adjustment_sequence,mobility,cancer_only_vs_neither,38062,,21199,0.0785493771916928,0.0629204887967439,1.08171676597974,0.825161927881768,1.41803823257503,0.338212781139728,6.01476800096364e-06,0.0728817618049908,0.171805518420931
Random-effects meta-analysis,persistence,function_adjustment_sequence,mobility_adl,cancer_and_pain_vs_neither,38046,,21190,0.145714704540506,0.0383307710291381,1.15686609232225,0.980974030679345,1.36429621346665,0.0627539148723667,5.51377016106794e-07,0.0148071619338355,0.245407397626433
Random-effects meta-analysis,persistence,function_adjustment_sequence,mobility_adl,cancer_and_pain_vs_cancer_only,38046,,21190,0.0716798424677956,0.0306116036196183,1.07431134013155,0.941735096925887,1.22555149457924,0.144003987492218,0,0,0.698013048309551
Random-effects meta-analysis,persistence,function_adjustment_sequence,mobility_adl,pain_only_vs_neither,38046,,21190,0.140335164822222,0.0134140285724812,1.15065939478601,1.08612819537431,1.21902464962068,0.00901327743991862,0,0,0.582377115172401
Random-effects meta-analysis,persistence,function_adjustment_sequence,mobility_adl,cancer_only_vs_neither,38046,,21190,0.0785423419984543,0.0628200699526815,1.08170915592003,0.825512722832368,1.41741570497736,0.337652136842788,4.14679316307353e-07,0.00501345557123456,0.173234842226824
Random-effects meta-analysis,persistence,complete_case,core,cancer_and_pain_vs_neither,40104,,22640,0.19279988979507,0.037167944520291,1.21264010757753,1.03342562344454,1.42293358819989,0.0352128389733266,7.85463608864115e-06,0.230486078827542,0.235779301236575
Random-effects meta-analysis,persistence,complete_case,core,cancer_and_pain_vs_cancer_only,40104,,22640,0.109439357623105,0.0281657184099767,1.11565241306958,0.988320790118286,1.25938897494913,0.0603064749910553,0,0,0.714381876140162
Random-effects meta-analysis,persistence,complete_case,core,pain_only_vs_neither,40104,,22640,0.169717579683761,0.0195303221666123,1.18497014441566,1.08946351358081,1.28884925989062,0.0129849870111885,0.000253453896709099,20.9467994618346,0.290962066850026
Random-effects meta-analysis,persistence,complete_case,core,cancer_only_vs_neither,40104,,22640,0.0891088242070714,0.0588606001888263,1.09319961643477,0.848616504025069,1.40827499312673,0.269244329962789,3.715029999685e-07,0.00463421529268844,0.199199573264962
Random-effects meta-analysis,persistence,first_eligible_interval,core,cancer_and_pain_vs_neither,30909,,16388,0.194174438618584,0.0317247036824706,1.2143080867075,1.05936964395341,1.39190710047198,0.0256704300382848,1.28629113621487e-06,0.0232240724703683,0.463838265531871
Random-effects meta-analysis,persistence,first_eligible_interval,core,cancer_and_pain_vs_cancer_only,30909,,16388,0.0838800293667288,0.0724356072393257,1.08749841810845,0.796295258737308,1.4851938353416,0.366463837272386,0.00587981496278685,29.8678765114743,0.275659060281313
