cohort,estimand,pain_burden_category,reference,n_intervals,n_persons,events,log_rr,se,rr,conf_low,conf_high,p_value
HRS,onset,mild_or_1_site,none,58007,18917,4831,0.250702834440014,0.0599145281017069,1.28492819118578,1.14256132353232,1.445034434913,2.85994158601868e-05
HRS,onset,moderate_or_2_sites,none,58007,18917,4831,0.429881303197512,0.0494578625354277,1.53707506682436,1.39507150758304,1.6935330900323,3.56522436500803e-18
HRS,onset,severe_or_3plus_sites,none,58007,18917,4831,0.446657524539346,0.0630593877197479,1.56307889144624,1.38135291999485,1.76871209777001,1.40939454214139e-12
SHARE,onset,mild_or_1_site,none,62124,50957,10259,0.145860123108789,0.0632616406579964,1.15703433436555,1.02211047807436,1.30976883577486,0.021129382628732
SHARE,onset,moderate_or_2_sites,none,62124,50957,10259,0.215722371772428,0.0471516092997679,1.24075786177302,1.13123156043566,1.36088854430358,4.76038670905989e-06
SHARE,onset,severe_or_3plus_sites,none,62124,50957,10259,0.373511496752338,0.0670783555726312,1.45282726624275,1.27384557321731,1.65695678496367,2.57256697833055e-08
CHARLS,onset,mild_or_1_site,none,15206,9786,3513,0.342660735920366,0.0749288411584414,1.40869076267196,1.21628715862081,1.63153055655664,4.8044880435559e-06
CHARLS,onset,moderate_or_2_sites,none,15206,9786,3513,0.256213404153444,0.0653329048495434,1.29202842275323,1.13673857562894,1.4685324145691,8.79412218003906e-05
CHARLS,onset,severe_or_3plus_sites,none,15206,9786,3513,0.332563518554907,0.0474362820532022,1.39453847544049,1.27072819008288,1.53041191236739,2.37058107693122e-12
HRS,persistence,mild_or_1_site,none,9977,5637,5419,0.156888043753296,0.0495389152750998,1.16986463291553,1.06161735724357,1.28914928717823,0.00154038504489249
HRS,persistence,moderate_or_2_sites,none,9977,5637,5419,0.191485763003586,0.0361730665736255,1.21104759133704,1.12815985144426,1.30002522834479,1.19931287942732e-07
HRS,persistence,severe_or_3plus_sites,none,9977,5637,5419,0.229999122787372,0.0375275688290224,1.25859890587014,1.16934812971878,1.35466176889381,8.85419883675204e-10
SHARE,persistence,mild_or_1_site,none,21535,19553,12110,0.179921584469452,0.0466844172679878,1.19712348636785,1.09244882849555,1.31182770692069,0.000116205219032565
SHARE,persistence,moderate_or_2_sites,none,21535,19553,12110,0.160858498479723,0.0325027222760054,1.17451876086455,1.10203044062317,1.25177514955279,7.45659715827635e-07
SHARE,persistence,severe_or_3plus_sites,none,21535,19553,12110,0.170273702548939,0.0342701832337919,1.18562931668091,1.10860822546953,1.26800148535601,6.74494847677023e-07
CHARLS,persistence,mild_or_1_site,none,8501,6010,5060,0.143011360110736,0.0430552316949142,1.15374290823876,1.06037716051299,1.25532946943827,0.000895095893837546
CHARLS,persistence,moderate_or_2_sites,none,8501,6010,5060,0.123525870340862,0.0375436343241588,1.13147927591799,1.05120980823431,1.21787805041727,0.00100118046352316
CHARLS,persistence,severe_or_3plus_sites,none,8501,6010,5060,0.150391579099064,0.0252451316723329,1.1622892818204,1.10617932714912,1.22124536363937,2.56516539782991e-09
