cohort,estimand,contrast,n_intervals,n_persons,estimate_sd,se,conf_low,conf_high,p_value
HRS,persistence_continuous_followup_score,cancer_and_pain_vs_neither,10029,5649,0.224292941348023,0.0483459244949277,0.129536670538672,0.319049212157374,3.49532011186129e-06
HRS,persistence_continuous_followup_score,cancer_and_pain_vs_cancer_only,10029,5649,0.0810973214792501,0.0828676435805617,-0.0813202754223526,0.243514918380853,0.327759493723144
HRS,persistence_continuous_followup_score,pain_only_vs_neither,10029,5649,0.23950139629406,0.0339669432691667,0.172927410821578,0.306075381766542,1.77618480170256e-12
HRS,persistence_continuous_followup_score,cancer_only_vs_neither,10029,5649,0.143195619868773,0.0771559386162664,-0.00802724101249228,0.294418480750038,0.0634642776670875
SHARE,persistence_continuous_followup_score,cancer_and_pain_vs_neither,21550,19567,0.220886055961125,0.0420297602868235,0.138509239520099,0.30326287240215,1.47648606930618e-07
SHARE,persistence_continuous_followup_score,cancer_and_pain_vs_cancer_only,21550,19567,0.197342172921345,0.0631044903720974,0.0736596445292798,0.321024701313411,0.00176462604434181
SHARE,persistence_continuous_followup_score,pain_only_vs_neither,21550,19567,0.159845598016454,0.028509222140371,0.103968549394075,0.215722646638833,2.06097773888355e-08
SHARE,persistence_continuous_followup_score,cancer_only_vs_neither,21550,19567,0.0235438830397792,0.0567302785115497,-0.0876454196757848,0.134733185755343,0.678131354620461
CHARLS,persistence_continuous_followup_score,cancer_and_pain_vs_neither,8525,6022,0.103512572065227,0.155840733913317,-0.201929653729164,0.408954797859618,0.506549351275286
CHARLS,persistence_continuous_followup_score,cancer_and_pain_vs_cancer_only,8525,6022,0.289812821068472,0.230163909321802,-0.161300151743202,0.740925793880146,0.207973121985948
CHARLS,persistence_continuous_followup_score,pain_only_vs_neither,8525,6022,0.141453312839231,0.0236992517280065,0.0950036329917895,0.187902992686672,2.39176783737469e-09
CHARLS,persistence_continuous_followup_score,cancer_only_vs_neither,8525,6022,-0.186300249003244,0.184707235179325,-0.54831977763869,0.175719279632201,0.313154736582736
