cohort,sensitivity_analysis,model_covariates,contrast,n_intervals,n_persons,events,log_rr,se,rr,conf_low,conf_high,p_value
HRS,reduced_covariate_set,reduced,cancer_and_pain_vs_neither,58427,19027,4881,0.404999634633226,0.0715666070324276,1.49930195226155,1.30308126310116,1.72506996125904,1.52205437810011e-08
HRS,reduced_covariate_set,reduced,cancer_and_pain_vs_cancer_only,58427,19027,4881,0.323708892553182,0.0869645577922933,1.38224486677159,1.16562974118792,1.63911472417413,0.000197409800506587
HRS,reduced_covariate_set,reduced,pain_only_vs_neither,58427,19027,4881,0.410790921969644,0.0456549773962579,1.50801003182826,1.37893134370802,1.64917148810288,2.30443624102256e-19
HRS,reduced_covariate_set,reduced,cancer_only_vs_neither,58427,19027,4881,0.0812907420800444,0.071456806376702,1.08468621465266,0.942931136620294,1.24775197102363,0.255278899251726
HRS,first_eligible_interval,full,cancer_and_pain_vs_neither,18933,18933,2077,0.383541945700371,0.0938461778076295,1.46747310534498,1.22092261789234,1.76381146794409,4.37135266117796e-05
HRS,first_eligible_interval,full,cancer_and_pain_vs_cancer_only,18933,18933,2077,0.423003448866238,0.134528406572668,1.52653956078813,1.17272795117012,1.98709600835051,0.00166460224711723
HRS,first_eligible_interval,full,pain_only_vs_neither,18933,18933,2077,0.354158088807386,0.0673195144630207,1.42498044213287,1.24883893167717,1.62596569417816,1.43388415396368e-07
HRS,first_eligible_interval,full,cancer_only_vs_neither,18933,18933,2077,-0.039461503165867,0.10502403868474,0.961306960552887,0.782465977693588,1.18102396621941,0.707111819611796
HRS,prepandemic_intervals_only,full,cancer_and_pain_vs_neither,37895,18047,3085,0.440954488704146,0.0777820709761721,1.55418996753328,1.33443026230078,1.81014064460465,1.43547951622661e-08
HRS,prepandemic_intervals_only,full,cancer_and_pain_vs_cancer_only,37895,18047,3085,0.374362452786157,0.0985350268909808,1.45406408453541,1.1986996555335,1.76382995705025,0.000145115309277884
HRS,prepandemic_intervals_only,full,pain_only_vs_neither,37895,18047,3085,0.415563161107831,0.0501960940729485,1.5152238155828,1.37325059230987,1.67187491064357,1.24428165853025e-16
HRS,prepandemic_intervals_only,full,cancer_only_vs_neither,37895,18047,3085,0.0665920359179886,0.0825769701145862,1.06885933299828,0.909140299837359,1.25663802819203,0.419998515293792
HRS,exclude_2020_2022_interval,full,cancer_and_pain_vs_neither,48983,18600,4102,0.422489941019405,0.0735089483906916,1.52575587197756,1.32103437827292,1.76220317893427,9.05925608110045e-09
HRS,exclude_2020_2022_interval,full,cancer_and_pain_vs_cancer_only,48983,18600,4102,0.364506971576227,0.0901386473806937,1.43980396884752,1.20663859018322,1.71802516973561,5.25810582913623e-05
HRS,exclude_2020_2022_interval,full,pain_only_vs_neither,48983,18600,4102,0.42144245283788,0.0464439931558174,1.52415849749528,1.391543967879,1.66941122890129,1.14507250649106e-19
HRS,exclude_2020_2022_interval,full,cancer_only_vs_neither,48983,18600,4102,0.0579829694431786,0.0728605127828372,1.05969694832752,0.918676702245697,1.22236431984135,0.426143717042824
SHARE,reduced_covariate_set,reduced,cancer_and_pain_vs_neither,62675,51390,10391,0.294006262147947,0.0658763037465521,1.3417923061426,1.17926466546571,1.52671969706856,8.08182285341119e-06
SHARE,reduced_covariate_set,reduced,cancer_and_pain_vs_cancer_only,62675,51390,10391,0.143503096763951,0.0922993297298347,1.15431038542836,0.96329048641415,1.38320941055668,0.120003778708652
SHARE,reduced_covariate_set,reduced,pain_only_vs_neither,62675,51390,10391,0.238967450644017,0.0434750314020986,1.2699372002731,1.16620857750629,1.38289198325569,3.87052700965667e-08
SHARE,reduced_covariate_set,reduced,cancer_only_vs_neither,62675,51390,10391,0.150503165383997,0.079111085751253,1.16241898459976,0.99545862988215,1.35738227104215,0.057115189125152
SHARE,first_eligible_interval,full,cancer_and_pain_vs_neither,50958,50958,8686,0.30280480677703,0.0742519304140969,1.35365021530501,1.17031588246469,1.56570455280528,4.54104725708141e-05
SHARE,first_eligible_interval,full,cancer_and_pain_vs_cancer_only,50958,50958,8686,0.0687389858526755,0.106477954690028,1.07115658563424,0.869398252455748,1.31973629772852,0.518557794269688
SHARE,first_eligible_interval,full,pain_only_vs_neither,50958,50958,8686,0.280863044751353,0.0446259889256966,1.32427222548326,1.21336526953867,1.44531656807117,3.09966140848417e-10
SHARE,first_eligible_interval,full,cancer_only_vs_neither,50958,50958,8686,0.234065820924355,0.0890550137824827,1.26372766919367,1.0613282622459,1.50472542633154,0.00858056377096684
SHARE,include_wave_6_8_custom_retention_weight,full,cancer_and_pain_vs_neither,65749,52088,10901,0.273993787125471,0.0650358801483876,1.31520663099956,1.15780480681235,1.49400699672995,2.52041841608062e-05
SHARE,include_wave_6_8_custom_retention_weight,full,cancer_and_pain_vs_cancer_only,65749,52088,10901,0.122077388622703,0.0913492949717045,1.12984153527738,0.944628132482097,1.35136976228278,0.181425036332348
SHARE,include_wave_6_8_custom_retention_weight,full,pain_only_vs_neither,65749,52088,10901,0.229508372458984,0.0422395048477661,1.25798139957688,1.15803020691864,1.36655951824629,5.52591159669815e-08
SHARE,include_wave_6_8_custom_retention_weight,full,cancer_only_vs_neither,65749,52088,10901,0.151916398502768,0.0773785720135871,1.1640629149615,1.00025721725569,1.35469401931071,0.049612754113139
CHARLS,reduced_covariate_set,reduced,cancer_and_pain_vs_neither,20574,11241,4615,0.446261108402756,0.169176643967258,1.56245938455029,1.12151559369501,2.17676806465623,0.00834356620567832
CHARLS,reduced_covariate_set,reduced,cancer_and_pain_vs_cancer_only,20574,11241,4615,0.859263492949406,0.251221802454945,2.36142084997543,1.44322155822116,3.8637923601777,0.000625433599266643
CHARLS,reduced_covariate_set,reduced,pain_only_vs_neither,20574,11241,4615,0.326041931107596,0.035165864813054,1.38547346209163,1.29319784775446,1.48433336592177,1.83467175300881e-20
CHARLS,reduced_covariate_set,reduced,cancer_only_vs_neither,20574,11241,4615,-0.413002384546651,0.21839952421566,0.661660705065149,0.431254193662086,1.01516668141748,0.058618914226643
CHARLS,first_eligible_interval,full,cancer_and_pain_vs_neither,8818,8818,2153,0.551340359892048,0.272929709713311,1.73557775834172,1.01654330835282,2.96320887708307,0.0433748955194274
CHARLS,first_eligible_interval,full,cancer_and_pain_vs_cancer_only,8818,8818,2153,0.748745481517545,0.392537610772538,2.11434586615297,0.979596919878042,4.56356931203371,0.0564624665254804
CHARLS,first_eligible_interval,full,pain_only_vs_neither,8818,8818,2153,0.241404318222381,0.0484762787942413,1.27303564277675,1.15765054347753,1.39992138120692,6.36354647173301e-07
CHARLS,first_eligible_interval,full,cancer_only_vs_neither,8818,8818,2153,-0.197405121625497,0.277109908596345,0.820858018607702,0.476860844037394,1.41300736921005,0.476234936905239
