cohort,estimand,outcome,contrast,n_intervals,n_persons,estimate_sd,se,conf_low,conf_high,p_value
HRS,onset,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_neither,56751,18741,0.195129617201843,0.0247050678697884,0.14670857394144,0.243550660462246,2.82588021019393e-15
HRS,onset,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_cancer_only,56751,18741,0.169388417758216,0.0287252120625272,0.113088036667387,0.225688798849044,3.70494583842191e-09
HRS,onset,standardized_depressive_score_excluding_sleep_item,pain_only_vs_neither,56751,18741,0.200107576871984,0.0153597225576965,0.170003073846372,0.230212079897597,8.47210353174205e-39
HRS,onset,standardized_depressive_score_excluding_sleep_item,cancer_only_vs_neither,56751,18741,0.0257411994436279,0.0176047134332176,-0.00876340484362703,0.0602458037308827,0.143692831363894
SHARE,onset,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_neither,59422,48790,0.106411133081141,0.0397572148200315,0.0284884239082567,0.184333842254024,0.00743902743199887
SHARE,onset,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_cancer_only,59422,48790,0.0474817734461812,0.0467913681286686,-0.0442276228733647,0.139191169765727,0.310222642771885
SHARE,onset,standardized_depressive_score_excluding_sleep_item,pain_only_vs_neither,59422,48790,0.137189731716048,0.0222268676939146,0.093625871546838,0.180753591885257,6.73259365829087e-10
SHARE,onset,standardized_depressive_score_excluding_sleep_item,cancer_only_vs_neither,59422,48790,0.0589293596349594,0.0300414845103761,4.91319525044651e-05,0.117809587317414,0.0498091358132739
CHARLS,onset,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_neither,13275,8789,0.168945987992924,0.289738892626926,-0.398931806476369,0.736823782462217,0.559827750124794
CHARLS,onset,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_cancer_only,13275,8789,0.229219568178102,0.306854910177048,-0.372205004248185,0.83064414060439,0.455065625799504
CHARLS,onset,standardized_depressive_score_excluding_sleep_item,pain_only_vs_neither,13275,8789,0.218972739094406,0.0276226140263671,0.164833410443875,0.273112067744936,2.23962388916943e-15
CHARLS,onset,standardized_depressive_score_excluding_sleep_item,cancer_only_vs_neither,13275,8789,-0.0602735801851786,0.115688045643641,-0.287017983088541,0.166470822718184,0.602366118603294
HRS,persistence,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_neither,9672,5502,0.221713612034245,0.048900966718523,0.125869478456748,0.317557745611742,5.78959316329185e-06
HRS,persistence,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_cancer_only,9672,5502,0.074833459432032,0.0829420070208635,-0.0877298871343288,0.237396805998393,0.366930267692687
HRS,persistence,standardized_depressive_score_excluding_sleep_item,pain_only_vs_neither,9672,5502,0.243229347707232,0.0347188735703152,0.175181605925615,0.311277089488849,2.45787616565564e-12
HRS,persistence,standardized_depressive_score_excluding_sleep_item,cancer_only_vs_neither,9672,5502,0.146880152602213,0.0762203569965883,-0.00250900199988596,0.296269307204311,0.053973867195462
SHARE,persistence,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_neither,19834,18026,0.216943093749409,0.0414825716110408,0.135638747405666,0.298247440093153,1.6974794488244e-07
SHARE,persistence,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_cancer_only,19834,18026,0.200399643181264,0.0615463760016973,0.0797709628389773,0.321028323523551,0.00112963733552494
SHARE,persistence,standardized_depressive_score_excluding_sleep_item,pain_only_vs_neither,19834,18026,0.143633112832452,0.0292421875867928,0.0863194783331741,0.20094674733173,9.02230513208051e-07
SHARE,persistence,standardized_depressive_score_excluding_sleep_item,cancer_only_vs_neither,19834,18026,0.0165434505681449,0.0556058147892365,-0.0924419437497632,0.125528844886053,0.766074914820501
CHARLS,persistence,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_neither,7076,5208,0.262857670038344,0.161469639671899,-0.0536170083152381,0.579332348391925,0.103544458079554
CHARLS,persistence,standardized_depressive_score_excluding_sleep_item,cancer_and_pain_vs_cancer_only,7076,5208,0.38325908699407,0.265843736946362,-0.13778506293634,0.90430323692448,0.14939533485281
CHARLS,persistence,standardized_depressive_score_excluding_sleep_item,pain_only_vs_neither,7076,5208,0.152461036929507,0.0258773674297938,0.101742328752402,0.203179745106613,3.82300666540489e-09
CHARLS,persistence,standardized_depressive_score_excluding_sleep_item,cancer_only_vs_neither,7076,5208,-0.120401416955726,0.222033983458132,-0.555580027877627,0.314777193966174,0.587635470099954
