estimand,cohort,contrast,n_intervals,n_persons,events,rr,conf_low,conf_high,p_value,analysis_method,tau2,i2,q_p_value,prediction_low_rr,prediction_high_rr,rr_ci,p_value_formatted
onset,HRS,cancer_and_pain_vs_neither,58443,19031,4881,1.47444542827031,1.28342821260815,1.69389241999697,4.13629592771803e-08,multiple_imputation_m20,,,,,,1.47 (1.28-1.69),<0.001
onset,HRS,cancer_and_pain_vs_cancer_only,58443,19031,4881,1.35348786682562,1.1430524633302,1.60266432592863,0.000446885851619109,multiple_imputation_m20,,,,,,1.35 (1.14-1.60),<0.001
onset,HRS,pain_only_vs_neither,58443,19031,4881,1.48249687067842,1.35641773611639,1.62029507064978,3.87663256102674e-18,multiple_imputation_m20,,,,,,1.48 (1.36-1.62),<0.001
onset,HRS,cancer_only_vs_neither,58443,19031,4881,1.08936730384468,0.947367545374394,1.25265123180553,0.229669966035267,multiple_imputation_m20,,,,,,1.09 (0.95-1.25),0.230
onset,SHARE,cancer_and_pain_vs_neither,62160,50982,10269,1.33761538299593,1.17590349888235,1.52156611025303,9.65732720697632e-06,complete_case_max_covariate_missingness_below_1pct,,,,,,1.34 (1.18-1.52),<0.001
onset,SHARE,cancer_and_pain_vs_cancer_only,62160,50982,10269,1.14946514954977,0.959541040471602,1.37698136327768,0.130598621801036,complete_case_max_covariate_missingness_below_1pct,,,,,,1.15 (0.96-1.38),0.131
onset,SHARE,pain_only_vs_neither,62160,50982,10269,1.27156874976602,1.16730661637696,1.38514342564076,3.71168805279655e-08,complete_case_max_covariate_missingness_below_1pct,,,,,,1.27 (1.17-1.39),<0.001
onset,SHARE,cancer_only_vs_neither,62160,50982,10269,1.16368502648371,0.996637454365272,1.35873163800052,0.0551919363129345,complete_case_max_covariate_missingness_below_1pct,,,,,,1.16 (1.00-1.36),0.055
onset,CHARLS,cancer_and_pain_vs_neither,21153,11489,4763,1.61628728257239,1.20908422987516,2.16063076108021,0.00118723429129276,multiple_imputation_m20,,,,,,1.62 (1.21-2.16),0.001
onset,CHARLS,cancer_and_pain_vs_cancer_only,21153,11489,4763,2.54372979979689,1.5807389894593,4.09337742506626,0.000119870090281158,multiple_imputation_m20,,,,,,2.54 (1.58-4.09),<0.001
onset,CHARLS,pain_only_vs_neither,21153,11489,4763,1.36579177663161,1.2762530838265,1.46161227796738,2.04996002315737e-19,multiple_imputation_m20,,,,,,1.37 (1.28-1.46),<0.001
onset,CHARLS,cancer_only_vs_neither,21153,11489,4763,0.63540053770705,0.411256980776037,0.981706967153646,0.0410383535777982,multiple_imputation_m20,,,,,,0.64 (0.41-0.98),0.041
onset,Random-effects meta-analysis,cancer_and_pain_vs_neither,141756,,19913,1.41903425787224,1.17221860152416,1.71781800970978,0.0157229804580182,random_effects_REML_Hartung_Knapp,6.98126207960848e-05,0.955061478371011,0.392002529344159,,,1.42 (1.17-1.72),0.016
onset,Random-effects meta-analysis,cancer_and_pain_vs_cancer_only,141756,,19913,1.5034367609865,0.566386819893459,3.9907745288119,0.214144362819561,random_effects_REML_Hartung_Knapp,0.116174447366962,89.6730220771519,0.00810482916359549,,,1.50 (0.57-3.99),0.214
onset,Random-effects meta-analysis,pain_only_vs_neither,141756,,19913,1.36944226707925,1.13729101539615,1.64898174475591,0.0183381330819426,random_effects_REML_Hartung_Knapp,0.00362380608736928,68.3413108925527,0.0510968746135556,,,1.37 (1.14-1.65),0.018
