cohort,phenotype,estimate,se,conf_low,conf_high,df,m,within_variance,between_variance,estimand,estimate_type,risk_percent,risk_ci_percent
HRS,neither,0.0616506982452421,0.0018381338769566,0.0580480220476412,0.0652533744428429,1496642878704.11,20,3.37872411112632e-06,1.14652277996841e-11,onset,marginal_standardized_risk_logistic,6.16506982452421,6.2 (5.8-6.5)
HRS,cancer_only,0.0668634402001888,0.00466639058781319,0.057717482710275,0.0760093976901025,3446046577015.73,20,2.17751499877241e-05,4.86955308636797e-11,onset,marginal_standardized_risk_logistic,6.68634402001888,6.7 (5.8-7.6)
HRS,pain_only,0.0907859598677947,0.00309763738170964,0.0847147021624686,0.0968572175731208,718011625016.991,20,9.59530798889856e-06,4.70092061002731e-11,onset,marginal_standardized_risk_logistic,9.07859598677947,9.1 (8.5-9.7)
HRS,cancer_and_pain,0.0901579704850219,0.00640619041605829,0.0776020679914282,0.102713872978616,1103143473199.67,20,4.10391053288211e-05,1.62207596147586e-10,onset,marginal_standardized_risk_logistic,9.01579704850219,9.0 (7.8-10.3)
SHARE,neither,0.152436006116086,0.00444586667674025,0.143722267549609,0.161149744682564,Inf,1,1.97657305073494e-05,0,onset,marginal_standardized_risk_logistic,15.2436006116086,15.2 (14.4-16.1)
SHARE,cancer_only,0.174765764413561,0.0127329047473453,0.149809729690185,0.199721799136937,Inf,1,0.000162126863304968,0,onset,marginal_standardized_risk_logistic,17.4765764413561,17.5 (15.0-20.0)
SHARE,pain_only,0.192436916167019,0.00597942711395385,0.180717454375487,0.204156377958551,Inf,1,3.57535486110864e-05,0,onset,marginal_standardized_risk_logistic,19.2436916167019,19.2 (18.1-20.4)
SHARE,cancer_and_pain,0.204197990730388,0.0130690111520396,0.178583199558839,0.229812781901938,Inf,1,0.000170799052492135,0,onset,marginal_standardized_risk_logistic,20.4197990730388,20.4 (17.9-23.0)
CHARLS,neither,0.194113491729586,0.00482315535036157,0.184660280643912,0.20356670281526,37254854.9058125,20,2.32462145414421e-05,1.58218974088776e-08,onset,marginal_standardized_risk_logistic,19.4113491729586,19.4 (18.5-20.4)
CHARLS,cancer_only,0.123777068979533,0.0268444140935938,0.0711629716672138,0.176391166291852,5093440.46827515,20,0.000719230760945753,1.3255305548441e-06,onset,marginal_standardized_risk_logistic,12.3777068979533,12.4 (7.1-17.6)
CHARLS,pain_only,0.268337283502174,0.00757497306816946,0.253490591577615,0.283183975426733,1025265.21173309,20,5.71332033773994e-05,2.35251053422218e-07,onset,marginal_standardized_risk_logistic,26.8337283502174,26.8 (25.3-28.3)
CHARLS,cancer_and_pain,0.345727905568186,0.0612362255770578,0.225706984123516,0.465748827012856,1164346.62008939,20,0.00373472742096985,1.44265732899631e-05,onset,marginal_standardized_risk_logistic,34.5727905568186,34.6 (22.6-46.6)
HRS,neither,0.460978461784515,0.0132457081591342,0.435017350842608,0.486939572726422,114022260022.681,20,0.000175446519823992,2.15696472699008e-09,persistence,marginal_standardized_risk_logistic,46.0978461784515,46.1 (43.5-48.7)
HRS,cancer_only,0.521443997838736,0.0340129268608223,0.454779886182695,0.588108109494777,2360033242211.38,20,0.00115687591113197,3.1261977895748e-09,persistence,marginal_standardized_risk_logistic,52.1443997838736,52.1 (45.5-58.8)
HRS,pain_only,0.560413409272625,0.00960923487720401,0.541579654994128,0.579247163551123,118972420444.113,20,9.23362280316422e-05,1.11132726828809e-09,persistence,marginal_standardized_risk_logistic,56.0413409272625,56.0 (54.2-57.9)
HRS,cancer_and_pain,0.566856928680236,0.0205272417419341,0.526624274164072,0.607089583196399,1916697398299.48,20,0.000421366326866969,1.26349031849376e-09,persistence,marginal_standardized_risk_logistic,56.6856928680236,56.7 (52.7-60.7)
SHARE,neither,0.513326914211822,0.0130137957662424,0.487820343206128,0.538833485217517,18167078854.8183,20,0.000169353403251995,5.21618426064968e-09,persistence,marginal_standardized_risk_logistic,51.3326914211822,51.3 (48.8-53.9)
SHARE,cancer_only,0.549666584636422,0.0293438418017126,0.492153711536882,0.607179457735962,488122642100.965,20,0.000861055679556962,5.116311404893e-09,persistence,marginal_standardized_risk_logistic,54.9666584636422,55.0 (49.2-60.7)
SHARE,pain_only,0.599298629145235,0.00848254657548119,0.58267314336004,0.615924114930431,293685652231.745,20,7.19530176592891e-05,5.51186589168797e-10,persistence,marginal_standardized_risk_logistic,59.9298629145235,59.9 (58.3-61.6)
SHARE,cancer_and_pain,0.625533102803685,0.0211763669108594,0.584028186327702,0.667038019279667,6888907963.30242,20,0.000448414964805639,2.24292740001245e-08,persistence,marginal_standardized_risk_logistic,62.5533102803685,62.6 (58.4-66.7)
CHARLS,neither,0.558115428172513,0.00914815884953667,0.540185364653587,0.57604549169144,13160784.8945535,20,8.35882554222665e-05,9.57665848471521e-08,persistence,marginal_standardized_risk_logistic,55.8115428172513,55.8 (54.0-57.6)
CHARLS,cancer_only,0.388338173355006,0.0702054791255675,0.250737959311855,0.525938387398157,48419445.8309968,20,0.00492572178544359,2.94048933990941e-06,persistence,marginal_standardized_risk_logistic,38.8338173355006,38.8 (25.1-52.6)
CHARLS,pain_only,0.628331837512184,0.00840641902786717,0.611855558021489,0.64480811700288,20835664.1514398,20,7.06003977457088e-05,6.42696441698982e-08,persistence,marginal_standardized_risk_logistic,62.8331837512184,62.8 (61.2-64.5)
CHARLS,cancer_and_pain,0.588183365740098,0.0623587551213673,0.465962445681643,0.710404285798554,25073954.615862,20,0.0038852293279472,3.22382127566714e-06,persistence,marginal_standardized_risk_logistic,58.8183365740098,58.8 (46.6-71.0)
