cohort,contrast,estimate,se,conf_low,conf_high,df,m,within_variance,between_variance,estimand,estimate_type,risk_difference_percentage_points,risk_difference_ci_percentage_points
HRS,cancer_and_pain_vs_neither,0.0285072722397798,0.00640093215654763,0.0159616757454457,0.041052868734114,922138513343.16,20,4.09717464931859e-05,1.77123371077843e-10,onset,marginal_standardized_risk_difference_logistic,2.85072722397798,2.9 (1.6 to 4.1)
HRS,cancer_and_pain_vs_cancer_only,0.0232945302848332,0.0069393359268137,0.00969368179162004,0.0368953787780463,493098181275.996,20,4.81540841913962e-05,2.8467978203724e-10,onset,marginal_standardized_risk_difference_logistic,2.32945302848332,2.3 (1.0 to 3.7)
HRS,pain_only_vs_neither,0.0291352616225527,0.00357239726223833,0.0221334916500644,0.0361370315950409,267499431052.034,20,1.27619146431928e-05,1.02434338173281e-10,onset,marginal_standardized_risk_difference_logistic,2.91352616225527,2.9 (2.2 to 3.6)
HRS,cancer_only_vs_neither,0.0052127419549467,0.0046112871038709,-0.00382521469101682,0.0142506986009102,4303963831605.77,20,2.12639240770364e-05,4.25497997284384e-11,onset,marginal_standardized_risk_difference_logistic,0.52127419549467,0.5 (-0.4 to 1.4)
SHARE,cancer_and_pain_vs_neither,0.051761984614302,0.0136316213942001,0.0250444976307842,0.0784794715978199,Inf,1,0.000185821101834814,0,onset,marginal_standardized_risk_difference_logistic,5.1761984614302,5.2 (2.5 to 7.8)
SHARE,cancer_and_pain_vs_cancer_only,0.0294322263168273,0.0175914827882075,-0.00504644638271575,0.0639108990163703,Inf,1,0.000309460266687802,0,onset,marginal_standardized_risk_difference_logistic,2.94322263168273,2.9 (-0.5 to 6.4)
SHARE,pain_only_vs_neither,0.0400009100509327,0.00754582725868488,0.0252113603903497,0.0547904597115157,Inf,1,5.69395090179117e-05,0,onset,marginal_standardized_risk_difference_logistic,4.00009100509327,4.0 (2.5 to 5.5)
SHARE,cancer_only_vs_neither,0.0223297582974748,0.0132625972637493,-0.00366445468093323,0.0483239712758828,Inf,1,0.000175896486180409,0,onset,marginal_standardized_risk_difference_logistic,2.23297582974748,2.2 (-0.4 to 4.8)
CHARLS,cancer_and_pain_vs_neither,0.1516144138386,0.0616698473950799,0.0307436066643606,0.27248522101284,1148804.72540638,20,0.00378770331435807,1.473025083274e-05,onset,marginal_standardized_risk_difference_logistic,15.16144138386,15.2 (3.1 to 27.2)
CHARLS,cancer_and_pain_vs_cancer_only,0.221950836588653,0.0623647064700856,0.0997181359822844,0.344183537195022,1212488.56788485,20,0.00387396033527038,1.46631217424338e-05,onset,marginal_standardized_risk_difference_logistic,22.1950836588653,22.2 (10.0 to 34.4)
CHARLS,pain_only_vs_neither,0.0742237917725882,0.00844589998242135,0.0576701006304642,0.0907774829147123,638912.304654141,20,7.09442279091621e-05,3.70474860859826e-07,onset,marginal_standardized_risk_difference_logistic,7.42237917725882,7.4 (5.8 to 9.1)
