cohort,estimand,outcome_type,contrast,n_intervals,n_persons,events,rr,conf_low,conf_high,se,m
HRS,onset,symptoms,pain_only_vs_cancer_only,58443,19031,4881,1.36087880134302,1.16599729379546,1.58833225582915,0.0788554803796476,20
SHARE,onset,symptoms,pain_only_vs_cancer_only,62160,50982,10269,1.09270869765188,0.936994023341632,1.27430086871401,0.0784392130794191,0
CHARLS,onset,symptoms,pain_only_vs_cancer_only,21153,11489,4763,2.14949735730521,1.38272993189398,3.34146154103528,0.225093016478399,20
HRS,onset,composite,pain_only_vs_cancer_only,61528,19895,7966,0.942524962246759,0.847926948089284,1.04767669722028,0.0539642151527731,20
SHARE,onset,composite,pain_only_vs_cancer_only,65883,54229,12992,0.984298685092164,0.868356869165844,1.11572089296057,0.0639433295632219,0
CHARLS,onset,composite,pain_only_vs_cancer_only,21829,11790,5439,1.43531422978146,1.04666835598252,1.96827096800808,0.16111073523787,20
HRS,persistence,symptoms,pain_only_vs_cancer_only,10087,5679,5481,1.08159566994149,0.941206149531222,1.24292557355138,0.0709352378151675,20
SHARE,persistence,symptoms,pain_only_vs_cancer_only,21866,19841,12314,1.0932044176537,0.974969981084559,1.22577712336141,0.0583999573896859,20
CHARLS,persistence,symptoms,pain_only_vs_cancer_only,11277,7168,6753,1.59630505783689,1.11530550653865,2.28474603840515,0.182943797488929,20
HRS,persistence,composite,pain_only_vs_cancer_only,11116,6243,6510,0.982431027035998,0.893610071869197,1.08008039889716,0.0483481440112512,20
SHARE,persistence,composite,pain_only_vs_cancer_only,24053,21860,14493,1.00575180646216,0.920563518342985,1.09882335770015,0.0451562402133113,0
CHARLS,persistence,composite,pain_only_vs_cancer_only,11806,7479,7282,1.39671397936026,1.0214367995774,1.9098684724767,0.159651941783129,20
